accession,description,length,masked Ns,masked Ns %,vsl-25 Ns,vsl-25 Ns %,masked vsl-25 Ns,masked vsl-25 Ns %,c1-25 Ns,c1-25 Ns %,masked c1-25 Ns,masked c1-25 Ns %,c2-25 Ns,c2-25 Ns %,masked c2-25 Ns,masked c2-25 Ns %,c3-25 Ns,c3-25 Ns %,masked c3-25 Ns,masked c3-25 Ns %,c4-25 Ns,c4-25 Ns %,masked c4-25 Ns,masked c4-25 Ns %,c5-25 Ns,c5-25 Ns %,masked c5-25 Ns,masked c5-25 Ns %,c6-25 Ns,c6-25 Ns %,masked c6-25 Ns,masked c6-25 Ns %,c7-25 Ns,c7-25 Ns %,masked c7-25 Ns,masked c7-25 Ns %,c8-25 Ns,c8-25 Ns %,masked c8-25 Ns,masked c8-25 Ns %,c9-25 Ns,c9-25 Ns %,masked c9-25 Ns,masked c9-25 Ns %,c10-25 Ns,c10-25 Ns %,masked c10-25 Ns,masked c10-25 Ns %,c11-25 Ns,c11-25 Ns %,masked c11-25 Ns,masked c11-25 Ns %,c12-25 Ns,c12-25 Ns %,masked c12-25 Ns,masked c12-25 Ns %
NC_001434.1,Hepatitis E virus  complete genome,7176,0,0,0,0,0,0,74,1.03,0,0,49,.68,0,0,49,.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.68,0,0
NC_001457.1,Human papillomavirus type 4  complete genome,7353,52,.70,74,1.00,52,.70,319,4.33,297,4.03,147,1.99,150,2.03,49,.66,101,1.37,0,0,52,.70,74,1.00,52,.70,0,0,52,.70,0,0,52,.70,270,3.67,248,3.37,0,0,52,.70,74,1.00,52,.70,74,1.00,52,.70,49,.66,101,1.37
NC_001458.1,Human papillomavirus type 63  complete genome,7348,88,1.19,0,0,88,1.19,98,1.33,186,2.53,49,.66,137,1.86,49,.66,137,1.86,0,0,88,1.19,0,0,88,1.19,0,0,88,1.19,0,0,88,1.19,98,1.33,186,2.53,0,0,88,1.19,0,0,88,1.19,0,0,88,1.19,0,0,88,1.19
NC_001482.1,Feline immunodeficiency virus complete genome,9474,152,1.60,49,.51,152,1.60,270,2.84,373,3.93,49,.51,201,2.12,49,.51,201,2.12,0,0,152,1.60,0,0,152,1.60,0,0,152,1.60,49,.51,152,1.60,221,2.33,373,3.93,0,0,152,1.60,49,.51,152,1.60,49,.51,152,1.60,319,3.36,422,4.45
NC_001484.1,Ground squirrel hepatitis virus  complete genome,3311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,4.43,0,0
NC_001486.1,Heron hepatitis B virus  complete genome,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_001489.1,Hepatitis A virus  complete genome,7478,34,.45,0,0,34,.45,270,3.61,230,3.07,49,.65,83,1.10,0,0,34,.45,0,0,34,.45,0,0,34,.45,0,0,34,.45,0,0,34,.45,270,3.61,230,3.07,0,0,34,.45,0,0,34,.45,0,0,34,.45,246,3.28,280,3.74
NC_001526.4,Human papillomavirus type 16  complete genome,7906,258,3.26,74,.93,258,3.26,467,5.90,577,7.29,196,2.47,454,5.74,98,1.23,356,4.50,0,0,258,3.26,49,.61,258,3.26,0,0,258,3.26,0,0,258,3.26,442,5.59,577,7.29,0,0,258,3.26,74,.93,258,3.26,74,.93,258,3.26,0,0,258,3.26
NC_001549.1,Simian immunodeficiency virus  complete genome,9623,0,0,0,0,0,0,368,3.82,0,0,123,1.27,0,0,221,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.01,0,0
NC_001583.1,Human papillomavirus type 26  complete genome,7855,215,2.73,49,.62,215,2.73,417,5.30,534,6.79,49,.62,215,2.73,98,1.24,313,3.98,0,0,215,2.73,49,.62,215,2.73,0,0,215,2.73,0,0,215,2.73,466,5.93,534,6.79,0,0,215,2.73,49,.62,215,2.73,49,.62,215,2.73,98,1.24,313,3.98
NC_001586.1,Human papillomavirus type 32  complete genome,7961,66,.82,0,0,66,.82,49,.61,66,.82,49,.61,115,1.44,0,0,66,.82,0,0,66,.82,49,.61,66,.82,0,0,66,.82,0,0,66,.82,49,.61,66,.82,0,0,66,.82,49,.61,66,.82,0,0,66,.82,49,.61,115,1.44
NC_001587.1,Human papillomavirus type 34  complete genome,7723,180,2.33,172,2.22,229,2.96,247,3.19,229,2.96,49,.63,180,2.33,49,.63,180,2.33,0,0,180,2.33,172,2.22,229,2.96,0,0,180,2.33,0,0,180,2.33,272,3.52,254,3.28,0,0,180,2.33,172,2.22,229,2.96,172,2.22,229,2.96,270,3.49,327,4.23
NC_001591.1,Human papillomavirus type 49  complete genome,7560,97,1.28,0,0,97,1.28,49,.64,97,1.28,49,.64,146,1.93,0,0,97,1.28,0,0,97,1.28,0,0,97,1.28,0,0,97,1.28,0,0,97,1.28,49,.64,97,1.28,0,0,97,1.28,0,0,97,1.28,0,0,97,1.28,147,1.94,244,3.22
NC_001593.1,Human papillomavirus type 53  complete genome,7856,194,2.46,49,.62,243,3.09,172,2.18,366,4.65,49,.62,243,3.09,0,0,194,2.46,0,0,194,2.46,49,.62,243,3.09,0,0,194,2.46,0,0,194,2.46,221,2.81,415,5.28,0,0,194,2.46,49,.62,243,3.09,49,.62,243,3.09,270,3.43,464,5.90
NC_001596.1,Human papillomavirus type 9  complete genome,7434,85,1.14,49,.65,85,1.14,270,3.63,232,3.12,98,1.31,183,2.46,98,1.31,183,2.46,0,0,85,1.14,49,.65,85,1.14,0,0,85,1.14,0,0,85,1.14,270,3.63,232,3.12,0,0,85,1.14,49,.65,85,1.14,49,.65,85,1.14,196,2.63,232,3.12
NC_001653.2,Hepatitis delta virus  complete genome,1682,0,0,0,0,0,0,49,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_001655.1,Hepatitis GB virus B  complete genome,9399,23,.24,49,.52,23,.24,246,2.61,195,2.07,172,1.82,146,1.55,123,1.30,146,1.55,0,0,23,.24,49,.52,23,.24,0,0,23,.24,0,0,23,.24,246,2.61,195,2.07,0,0,23,.24,49,.52,23,.24,49,.52,23,.24,147,1.56,170,1.80
NC_001676.1,Human papillomavirus 54  complete genome,7759,180,2.31,0,0,180,2.31,343,4.42,425,5.47,49,.63,229,2.95,49,.63,229,2.95,0,0,180,2.31,0,0,180,2.31,0,0,180,2.31,0,0,180,2.31,343,4.42,425,5.47,0,0,180,2.31,0,0,180,2.31,0,0,180,2.31,147,1.89,278,3.58
NC_001690.1,Human papillomavirus type 48  complete genome,7100,0,0,0,0,0,0,369,5.19,0,0,147,2.07,0,0,172,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.38,0,0
NC_001691.1,Human papillomavirus type 50  complete genome,7184,0,0,0,0,0,0,221,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.68,0,0
NC_001693.1,Human papillomavirus type 60  complete genome,7313,61,.83,0,0,61,.83,319,4.36,331,4.52,98,1.34,110,1.50,74,1.01,135,1.84,0,0,61,.83,0,0,61,.83,0,0,61,.83,0,0,61,.83,319,4.36,331,4.52,0,0,61,.83,0,0,61,.83,0,0,61,.83,0,0,61,.83
NC_001694.1,Human papillomavirus - 61  complete genome,7989,63,.78,49,.61,63,.78,245,3.06,259,3.24,0,0,63,.78,49,.61,112,1.40,0,0,63,.78,49,.61,63,.78,0,0,63,.78,0,0,63,.78,245,3.06,259,3.24,0,0,63,.78,49,.61,63,.78,49,.61,63,.78,0,0,63,.78
NC_001710.1,GB virus C Hepatitis G virus  complete genome,9392,0,0,49,.52,0,0,74,.78,0,0,74,.78,0,0,74,.78,0,0,49,.52,0,0,49,.52,0,0,0,0,0,0,0,0,0,0,74,.78,0,0,0,0,0,0,49,.52,0,0,49,.52,0,0,147,1.56,0,0
NC_001716.2,Human herpesvirus 7  complete genome,153080,2519,1.64,9754,6.37,10885,7.11,16592,10.83,17271,11.28,10440,6.81,11620,7.59,8372,5.46,10149,6.62,4288,2.80,6337,4.13,9907,6.47,10862,7.09,4598,3.00,6747,4.40,6318,4.12,8219,5.36,16420,10.72,17148,11.20,4786,3.12,7009,4.57,9904,6.46,10960,7.15,9803,6.40,10934,7.14,9621,6.28,11349,7.41
NC_001722.1,Human immunodeficiency virus 2  complete genome,10359,502,4.84,0,0,502,4.84,245,2.36,747,7.21,245,2.36,747,7.21,147,1.41,649,6.26,0,0,502,4.84,0,0,502,4.84,0,0,502,4.84,0,0,502,4.84,245,2.36,747,7.21,0,0,502,4.84,0,0,502,4.84,0,0,502,4.84,246,2.37,748,7.22
NC_001798.2,Human herpesvirus 2 strain HG52  complete genome,154675,5884,3.80,2342,1.51,6896,4.45,6360,4.11,9725,6.28,4240,2.74,8400,5.43,3256,2.10,7710,4.98,1134,.73,6402,4.13,2640,1.70,7145,4.61,419,.27,6156,3.97,812,.52,6451,4.17,6632,4.28,9872,6.38,49,.03,5884,3.80,2616,1.69,7121,4.60,2042,1.32,6647,4.29,5115,3.30,9885,6.39
NC_001802.1,Human immunodeficiency virus 1  complete genome,9181,52,.56,0,0,52,.56,491,5.34,494,5.38,98,1.06,150,1.63,98,1.06,150,1.63,0,0,52,.56,0,0,52,.56,0,0,52,.56,0,0,52,.56,442,4.81,445,4.84,0,0,52,.56,0,0,52,.56,0,0,52,.56,320,3.48,372,4.05
NC_001806.2,Human herpesvirus 1 strain 17  complete genome,152222,4143,2.72,1859,1.22,5089,3.34,5038,3.30,7084,4.65,3905,2.56,6936,4.55,3015,1.98,6392,4.19,1019,.66,4939,3.24,2605,1.71,5712,3.75,370,.24,4340,2.85,911,.59,4634,3.04,5390,3.54,7533,4.94,344,.22,4339,2.85,2006,1.31,5089,3.34,1982,1.30,5089,3.34,4161,2.73,7318,4.80
NC_001837.1,Hepatitis GB virus A  complete genome,9550,0,0,0,0,0,0,49,.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.02,0,0
NC_001846.1,Murine hepatitis virus strain MHV-A59 C12 mutant  complete genome,31357,23,.07,98,.31,72,.22,540,1.72,489,1.55,343,1.09,317,1.01,294,.93,268,.85,49,.15,23,.07,98,.31,72,.22,49,.15,23,.07,98,.31,72,.22,540,1.72,489,1.55,49,.15,23,.07,98,.31,72,.22,98,.31,72,.22,392,1.25,366,1.16
NC_002512.2,Rat cytomegalovirus Maastricht  complete genome,230138,6293,2.73,812,.35,6465,2.80,4839,2.10,8913,3.87,2455,1.06,7397,3.21,2283,.99,7299,3.17,418,.18,6342,2.75,713,.30,6440,2.79,196,.08,6293,2.73,687,.29,6587,2.86,4938,2.14,9037,3.92,0,0,6293,2.73,1008,.43,6563,2.85,910,.39,6514,2.83,4639,2.01,9729,4.22
NC_002645.1,Human coronavirus 229E  complete genome,27317,86,.31,74,.27,86,.31,515,1.88,478,1.74,270,.98,282,1.03,245,.89,282,1.03,49,.17,86,.31,74,.27,86,.31,49,.17,86,.31,98,.35,135,.49,515,1.88,478,1.74,49,.17,86,.31,74,.27,86,.31,74,.27,86,.31,221,.80,258,.94
NC_003045.1,Bovine coronavirus isolate BCoV-ENT  complete genome,31028,0,0,0,0,0,0,294,.94,0,0,98,.31,0,0,98,.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,.63,0,0
NC_003309.1,Burkholderia phage phiE125  complete genome,53373,154,.28,0,0,154,.28,49,.09,203,.38,0,0,154,.28,0,0,154,.28,0,0,154,.28,0,0,154,.28,0,0,154,.28,0,0,154,.28,49,.09,203,.38,0,0,154,.28,0,0,154,.28,0,0,154,.28,319,.59,473,.88
NC_004102.1,Hepatitis C virus genotype 1  complete genome,9646,128,1.32,149,1.54,128,1.32,149,1.54,128,1.32,99,1.02,128,1.32,99,1.02,128,1.32,99,1.02,128,1.32,149,1.54,128,1.32,74,.76,128,1.32,99,1.02,128,1.32,149,1.54,128,1.32,99,1.02,128,1.32,149,1.54,128,1.32,149,1.54,128,1.32,197,2.04,226,2.34
NC_004104.1,Human papillomavirus type 90  complete genome,8033,136,1.69,0,0,136,1.69,196,2.43,283,3.52,98,1.21,185,2.30,49,.60,185,2.30,0,0,136,1.69,0,0,136,1.69,0,0,136,1.69,0,0,136,1.69,196,2.43,283,3.52,0,0,136,1.69,0,0,136,1.69,0,0,136,1.69,172,2.14,308,3.83
NC_004107.1,Woodchuck hepatitis virus  complete genome,3323,0,0,0,0,0,0,49,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_004313.1,Salmonella phage ST64B  complete genome,40149,0,0,0,0,0,0,147,.36,0,0,49,.12,0,0,98,.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,.24,0,0
NC_004333.2,Burkholderia phage Bcep781  complete genome,48247,297,.61,0,0,297,.61,49,.10,346,.71,49,.10,346,.71,49,.10,346,.71,0,0,297,.61,0,0,297,.61,0,0,297,.61,0,0,297,.61,49,.10,346,.71,0,0,297,.61,0,0,297,.61,0,0,297,.61,466,.96,714,1.47
NC_004455.1,Simian immunodeficiency virus 2 isolate SIVmnd-2  complete genome,9518,88,.92,0,0,88,.92,196,2.05,284,2.98,49,.51,137,1.43,49,.51,137,1.43,0,0,88,.92,0,0,88,.92,0,0,88,.92,0,0,88,.92,196,2.05,284,2.98,0,0,88,.92,0,0,88,.92,0,0,88,.92,147,1.54,235,2.46
NC_004500.1,Human papillomavirus type 92  complete genome,7461,185,2.47,0,0,185,2.47,221,2.96,332,4.44,49,.65,234,3.13,49,.65,234,3.13,0,0,185,2.47,0,0,185,2.47,0,0,185,2.47,49,.65,234,3.13,221,2.96,332,4.44,0,0,185,2.47,0,0,185,2.47,0,0,185,2.47,196,2.62,332,4.44
NC_004718.3,SARS coronavirus Tor2  complete genome,29751,24,.08,74,.24,24,.08,565,1.89,515,1.73,319,1.07,294,.98,270,.90,245,.82,49,.16,24,.08,74,.24,24,.08,49,.16,24,.08,49,.16,24,.08,565,1.89,515,1.73,49,.16,24,.08,74,.24,24,.08,74,.24,24,.08,147,.49,122,.41
NC_005091.2,Burkholderia phage BcepNazgul  complete genome,57455,125,.21,0,0,125,.21,196,.34,315,.54,49,.08,174,.30,0,0,125,.21,0,0,125,.21,0,0,125,.21,0,0,125,.21,0,0,125,.21,196,.34,315,.54,0,0,125,.21,0,0,125,.21,0,0,125,.21,294,.51,419,.72
NC_005134.2,Human papillomavirus type 96  complete genome,7438,60,.80,0,0,60,.80,98,1.31,158,2.12,0,0,60,.80,0,0,60,.80,0,0,60,.80,0,0,60,.80,0,0,60,.80,0,0,60,.80,98,1.31,158,2.12,0,0,60,.80,0,0,60,.80,0,0,60,.80,98,1.31,158,2.12
NC_005262.3,Burkholderia cepacia phage Bcep22  complete genome,63882,504,.78,49,.07,504,.78,98,.15,504,.78,98,.15,504,.78,98,.15,504,.78,49,.07,504,.78,49,.07,504,.78,49,.07,504,.78,49,.07,504,.78,147,.23,553,.86,0,0,504,.78,49,.07,504,.78,49,.07,504,.78,539,.84,992,1.55
NC_005263.2,Burkholderia phage Bcep1  complete genome,48177,534,1.10,0,0,534,1.10,98,.20,534,1.10,49,.10,534,1.10,49,.10,534,1.10,0,0,534,1.10,0,0,534,1.10,0,0,534,1.10,49,.10,534,1.10,98,.20,534,1.10,0,0,534,1.10,0,0,534,1.10,0,0,534,1.10,245,.50,730,1.51
NC_005342.2,Burkholderia phage Bcep43  complete genome,48024,305,.63,0,0,305,.63,49,.10,354,.73,98,.20,403,.83,98,.20,403,.83,0,0,305,.63,0,0,305,.63,0,0,305,.63,0,0,305,.63,49,.10,354,.73,0,0,305,.63,0,0,305,.63,0,0,305,.63,196,.40,501,1.04
NC_005831.2,Human Coronavirus NL63  complete genome,27553,301,1.09,0,0,301,1.09,1006,3.65,1209,4.38,343,1.24,595,2.15,294,1.06,546,1.98,0,0,301,1.09,0,0,301,1.09,0,0,301,1.09,0,0,301,1.09,908,3.29,1111,4.03,0,0,301,1.09,0,0,301,1.09,0,0,301,1.09,196,.71,448,1.62
NC_005882.1,Burkholderia cenocepacia phage BcepMu  complete genome,36748,411,1.11,0,0,411,1.11,0,0,411,1.11,0,0,411,1.11,0,0,411,1.11,0,0,411,1.11,0,0,411,1.11,0,0,411,1.11,0,0,411,1.11,0,0,411,1.11,0,0,411,1.11,0,0,411,1.11,0,0,411,1.11,319,.86,730,1.98
NC_005886.2,Burkholderia cenocepacia phage BcepB1A  complete genome,47399,34,.07,49,.10,83,.17,98,.20,132,.27,98,.20,132,.27,98,.20,132,.27,49,.10,83,.17,49,.10,83,.17,0,0,34,.07,49,.10,83,.17,98,.20,132,.27,0,0,34,.07,49,.10,83,.17,49,.10,83,.17,148,.31,182,.38
NC_005887.1,Burkholderia phage BcepC6B  complete genome,42415,442,1.04,0,0,442,1.04,49,.11,491,1.15,49,.11,491,1.15,49,.11,491,1.15,0,0,442,1.04,0,0,442,1.04,0,0,442,1.04,0,0,442,1.04,49,.11,491,1.15,0,0,442,1.04,0,0,442,1.04,0,0,442,1.04,368,.86,810,1.90
NC_005888.1,Ross's goose hepatitis B virus  complete genome,3018,0,0,0,0,0,0,49,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_005890.1,Sheldgoose hepatitis B virus  complete genome,3051,0,0,0,0,0,0,49,1.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_005950.1,Snow goose hepatitis B virus  complete genome,3024,0,0,0,0,0,0,74,2.44,0,0,49,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2.44,0,0
NC_006213.1,Human coronavirus OC43 strain ATCC VR-759  complete genome,30741,131,.42,49,.15,131,.42,491,1.59,548,1.78,147,.47,229,.74,147,.47,229,.74,0,0,131,.42,49,.15,131,.42,0,0,131,.42,0,0,131,.42,540,1.75,597,1.94,0,0,131,.42,49,.15,131,.42,49,.15,131,.42,343,1.11,425,1.38
NC_006273.2,Human herpesvirus 5 strain Merlin  complete genome,235646,3141,1.33,637,.27,3190,1.35,3217,1.36,4980,2.11,1472,.62,3729,1.58,1301,.55,3632,1.54,343,.14,3190,1.35,539,.22,3190,1.35,0,0,3141,1.33,49,.02,3141,1.33,3292,1.39,4981,2.11,0,0,3141,1.33,637,.27,3190,1.35,637,.27,3190,1.35,1963,.83,4761,2.02
NC_006577.2,Human coronavirus HKU1  complete genome,29926,215,.71,49,.16,264,.88,1326,4.43,1541,5.14,245,.81,460,1.53,98,.32,313,1.04,0,0,215,.71,0,0,215,.71,0,0,215,.71,0,0,215,.71,1252,4.18,1467,4.90,0,0,215,.71,0,0,215,.71,49,.16,264,.88,539,1.80,754,2.51
NC_006940.2,Salmonella phage SS3e  complete genome,40793,36,.08,0,0,36,.08,368,.90,404,.99,172,.42,208,.50,123,.30,159,.38,0,0,36,.08,0,0,36,.08,0,0,36,.08,0,0,36,.08,319,.78,355,.87,0,0,36,.08,0,0,36,.08,0,0,36,.08,270,.66,306,.75
NC_007145.2,Burkholderia prophage phi52237  complete genome,37639,434,1.15,0,0,434,1.15,49,.13,434,1.15,0,0,434,1.15,0,0,434,1.15,0,0,434,1.15,0,0,434,1.15,0,0,434,1.15,0,0,434,1.15,98,.26,483,1.28,0,0,434,1.15,0,0,434,1.15,0,0,434,1.15,0,0,434,1.15
NC_007497.1,Burkholderia phage Bcep176  complete genome,44856,162,.36,49,.10,162,.36,221,.49,334,.74,98,.21,260,.57,98,.21,260,.57,0,0,162,.36,49,.10,162,.36,0,0,162,.36,0,0,162,.36,221,.49,334,.74,0,0,162,.36,49,.10,162,.36,49,.10,162,.36,196,.43,309,.68
NC_007605.1,Human gammaherpesvirus 4  complete genome,171823,1139,.66,796,.46,1861,1.08,2987,1.73,3745,2.17,1893,1.10,2803,1.63,1429,.83,2605,1.51,221,.12,1360,.79,845,.49,1861,1.08,49,.02,1188,.69,147,.08,1286,.74,2987,1.73,3745,2.17,0,0,1139,.66,796,.46,1861,1.08,770,.44,1835,1.06,3758,2.18,4799,2.79
NC_007818.1,Coliphage ID21  complete genome,6068,104,1.71,0,0,104,1.71,98,1.61,202,3.32,49,.80,153,2.52,49,.80,153,2.52,0,0,104,1.71,0,0,104,1.71,0,0,104,1.71,0,0,104,1.71,98,1.61,202,3.32,0,0,104,1.71,0,0,104,1.71,0,0,104,1.71,98,1.61,202,3.32
NC_007819.1,Coliphage ID32  complete genome,6071,0,0,0,0,0,0,49,.80,0,0,49,.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.80,0,0
NC_007820.1,Coliphage NC35  complete genome,6039,68,1.12,0,0,68,1.12,0,0,68,1.12,0,0,68,1.12,0,0,68,1.12,0,0,68,1.12,0,0,68,1.12,0,0,68,1.12,0,0,68,1.12,0,0,68,1.12,0,0,68,1.12,0,0,68,1.12,0,0,68,1.12,49,.81,117,1.93
NC_007822.1,Coliphage WA45  complete genome,6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.61,0,0
NC_007823.1,Coliphage NC28  complete genome,6065,0,0,0,0,0,0,98,1.61,0,0,49,.80,0,0,49,.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.61,0,0
NC_007824.1,Coliphage ID62  complete genome,6051,66,1.09,0,0,66,1.09,0,0,66,1.09,0,0,66,1.09,0,0,66,1.09,0,0,66,1.09,0,0,66,1.09,0,0,66,1.09,0,0,66,1.09,0,0,66,1.09,0,0,66,1.09,0,0,66,1.09,0,0,66,1.09,0,0,66,1.09
