  ,biospecimen_repository_sample_id,BioSample,Body Site,Paired Raw R1 Read Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q30 l30 EBV Count,RMHM viral q30 l30 EBV Count,RMHM viral q30 l40 EBV Count,RMHM viral q30 l50 EBV Count,RMHM viral q30 l60 EBV Count,Human Virome EBV Count,RMHM viral q30 l30 CMV Count,RMHM viral q30 l40 CMV Count,RMHM viral q30 l50 CMV Count,RMHM viral q30 l60 CMV Count,Human Virome CMV Count,RMHM viral q30 l30 HSV1 Count,RMHM viral q30 l40 HSV1 Count,RMHM viral q30 l50 HSV1 Count,RMHM viral q30 l60 HSV1 Count,Human Virome HSV1 Count,RMHM viral q30 l30 HSV2 Count,RMHM viral q30 l40 HSV2 Count,RMHM viral q30 l50 HSV2 Count,RMHM viral q30 l60 HSV2 Count,Human Virome HSV2 Count
SRR1489054,GTEX-11EMC-3326-SM-5P9JH,SAMN02787674,Brain - Cerebellum,48060528,1257632,58079,,,,,,,,,,,,,,,,,,,,,
SRR1499785,GTEX-11EQ8-2826-SM-5N9C1,SAMN02787443,Brain - Cerebellum,39216137,1206610,45672,,,,,,,,,,,,,,,,,,,,,
SRR1311794,GTEX-11GS4-3126-SM-5A5LH,SAMN02791851,Brain - Cortex,38848081,709285,33281,,,,,,,,,,,,,,,,,,,,,
SRR1312743,GTEX-11GSO-0011-R1b-SM-57WD3,SAMN02790827,Brain - Hippocampus,46542545,1029325,38971,6,6,6,6,6,18,,,,,,,,,,,,,,,
SRR1310113,GTEX-11GSO-0011-R2a-SM-57WDF,SAMN02789580,Brain - Substantia nigra,46518105,1008841,36281,8,8,8,7,7,16,,,,,,,,,,,,,,,
SRR1311086,GTEX-11GSO-0011-R3b-SM-57WB2,SAMN02793568,Brain - Anterior cingulate cortex (BA24),42649223,838518,35169,9,9,8,8,7,16,,,,,,,,,,,,,,,
SRR1332796,GTEX-11GSO-2926-SM-5HL73,SAMN02789370,Brain - Cortex,34177556,659315,27223,,,,,,,,,,,,,,,,,,,,,
SRR1490568,GTEX-11GSO-3026-SM-5Q5AL,SAMN02789891,Brain - Cerebellum,43266130,1064449,31513,1,1,1,1,1,4,,,,,,,,,,,,,,,
SRR1413562,GTEX-11GSP-0011-R10a-SM-5NQ7J,SAMN02791702,Brain - Frontal Cortex (BA9),42106121,763009,29394,,,,,,,,,,,,,,,,,,,,,
SRR1356375,GTEX-11GSP-0011-R11b-SM-5NQ7V,SAMN02793345,Brain - Cerebellar Hemisphere,32144165,950917,31138,,,,,,,,,,,,,,,,,,,,,
SRR1443201,GTEX-11GSP-0011-R5a-SM-57WBE,SAMN02787839,Brain - Caudate (basal ganglia),36089353,858006,31755,6,6,6,6,6,10,,,,,,,,,,,,,,,
SRR1320180,GTEX-11GSP-0011-R6b-SM-57WBQ,SAMN02790495,Brain - Nucleus accumbens (basal ganglia),61900047,1330166,52506,5,5,5,5,5,19,,,,,,,,,,,,,,,
SRR1409351,GTEX-11GSP-0011-R7b-SM-57WC3,SAMN02787429,Brain - Putamen (basal ganglia),43556695,955008,37962,5,5,5,5,5,11,,,,,,,,,,,,,,,
SRR1435901,GTEX-11GSP-0011-R8b-SM-5NQ79,SAMN02788585,Brain - Hypothalamus,48602917,946285,35648,,,,,,,,,,,,,,,,,,,,,
SRR1467590,GTEX-11GSP-0011-R9b-SM-5NQ77,SAMN02787442,Brain - Spinal cord (cervical c-1),41187268,752528,29008,,,,,,,,,,,,,,,,,,,,,
SRR1335377,GTEX-11GSP-3126-SM-5A5LL,SAMN02791958,Brain - Cerebellum,46992182,1236150,47635,,,,,,,,,,,,,,,,,,,,,
SRR1383059,GTEX-11GSP-3226-SM-5986O,SAMN02788474,Brain - Cortex,49091348,950870,62313,,,,,,,,,,,,,,,,,,,,,
SRR1402900,GTEX-11H98-0011-R10b-SM-5NQ98,SAMN02791386,Brain - Frontal Cortex (BA9),39059967,699065,28872,,,,,,,,,,,,,,,,,,,,,
SRR1348446,GTEX-11H98-0011-R11b-SM-5NQ6U,SAMN02790392,Brain - Cerebellar Hemisphere,39479655,965206,33924,,,,,,,,,,,,,,,,,,,,,
SRR1447393,GTEX-11H98-0011-R5b-SM-57WCF,SAMN02787865,Brain - Caudate (basal ganglia),41948713,868221,35878,9,9,9,9,9,16,,,,,,,,,,,,,,,
SRR1334960,GTEX-11H98-0011-R8a-SM-5NQ8V,SAMN02791392,Brain - Hypothalamus,39057322,658324,25893,,,,,,,,,,,,,,,,,,,,,
SRR1310008,GTEX-11NUK-2926-SM-5A5MD,SAMN02788285,Brain - Cortex,50800452,987967,42154,,,,,,,,,,,,,,,,,,,,,
SRR1464305,GTEX-11NUK-3026-SM-5986K,SAMN02791538,Brain - Cerebellum,46445074,1336936,70393,,,,,,,,,,,,,,,,,,,,,
SRR1355262,GTEX-11NV4-0011-R5a-SM-5NQ88,SAMN02793698,Brain - Caudate (basal ganglia),41254672,801874,28733,,,,,,,,,,,,,,,,,,,,,
SRR1374221,GTEX-11NV4-0011-R6a-SM-57WD5,SAMN02791579,Brain - Nucleus accumbens (basal ganglia),47323602,954730,38924,19,19,16,16,15,24,,,,,,,,,,,,,,,
SRR1331534,GTEX-11NV4-0011-R7a-SM-57WDH,SAMN02791893,Brain - Putamen (basal ganglia),40663568,843297,33261,7,7,7,7,7,13,,,,,,,,,,,,,,,
SRR1433088,GTEX-11NV4-2126-SM-5N9DS,SAMN02789230,Brain - Cortex,34462237,605411,29078,,,,,,,,,,,,,,,,,,,,,
SRR1340095,GTEX-11NV4-2226-SM-5BC4T,SAMN02790397,Brain - Cerebellum,40839175,1381471,58946,,,,,,,,,,,,,,,,,,,,,
SRR1417981,GTEX-11O72-2826-SM-5HL6W,SAMN02790813,Brain - Cerebellum,45026434,1302036,49088,,,,,,,,,,,,,,,,,,,,,
SRR1310136,GTEX-11O72-2926-SM-5BC4V,SAMN02793636,Brain - Cortex,46469630,1137272,57883,,,,,,,,,,,,,,,,,,,,,
SRR1330041,GTEX-11OC5-0626-SM-5HL6M,SAMN02793790,Brain - Cerebellum,35947567,1031323,34361,,,,,,,,,,,,,,,,,,,,,
SRR1465917,GTEX-11OC5-0726-SM-5P9JK,SAMN02790798,Brain - Cortex,51329839,1180289,58718,,,,,,,,,,,,,,,,,,,,,
SRR1321244,GTEX-11OF3-0011-R11a-SM-57WCR,SAMN02788326,Brain - Cerebellar Hemisphere,47605406,1418887,49134,34,34,34,34,34,49,,,,,,,,,,,,,,,
SRR1365987,GTEX-11OF3-0011-R5a-SM-57WB4,SAMN02789861,Brain - Caudate (basal ganglia),39732935,809574,32048,13,13,13,13,12,17,,,,,,,,,,,,,,,
SRR1311285,GTEX-11OF3-0011-R6b-SM-57WBG,SAMN02788274,Brain - Nucleus accumbens (basal ganglia),48214638,1101043,41097,12,12,12,12,12,18,,,,,,,,,,,,,,,
SRR1470397,GTEX-11OF3-0011-R7a-SM-57WCG,SAMN02791824,Brain - Putamen (basal ganglia),44104030,1026324,37769,9,9,9,9,9,11,,,,,,,,,,,,,,,
SRR1311182,GTEX-11OF3-0011-R8b-SM-57WCS,SAMN02789000,Brain - Hypothalamus,47187823,1068701,41845,7,7,7,7,7,11,,,,,,,,,,,,,,,
SRR1328960,GTEX-11OF3-2926-SM-5HL78,SAMN02791828,Brain - Cortex,46905591,1200338,48464,,,,,,,,,,,,,,,,,,,,,
SRR1320093,GTEX-11OF3-3126-SM-5GU5E,SAMN02787943,Brain - Cerebellum,32056334,781715,21014,,,,,,,,,,,,,,,,,,,,,
SRR1414424,GTEX-11ONC-0011-R1a-SM-57WD4,SAMN02788378,Brain - Hippocampus,34934911,724086,27471,7,7,7,7,7,10,,,,,,,,,,,,,,,
SRR1333587,GTEX-11ONC-0011-R8b-SM-5NQ87,SAMN02787268,Brain - Hypothalamus,38274443,762638,28230,,,,,,,,,,,,,,,,,,,,,
SRR1310623,GTEX-11ONC-0011-R9b-SM-5NQ8J,SAMN02793523,Brain - Spinal cord (cervical c-1),36405540,585068,23848,,,,,,3,,,,,,,,,,,,,,,
SRR1437555,GTEX-11ONC-2926-SM-5P9JM,SAMN02791640,Brain - Cortex,50633963,992575,51292,,,,,,,,,,,,,,,,,,,,,
SRR1413414,GTEX-11ONC-3026-SM-5985W,SAMN02790140,Brain - Cerebellum,46914948,1270771,66429,,,,,,,,,,,,,,,,,,,,,
SRR1399904,GTEX-11PRG-2826-SM-5BC54,SAMN02791542,Brain - Cerebellum,41482085,1088841,58717,,,,,,,,,,,,,,,,,,,,,
SRR1464451,GTEX-11PRG-2926-SM-5987A,SAMN02791397,Brain - Cortex,44525362,975966,58011,,,,,,,,,,,,,,,,,,,,,
SRR1368178,GTEX-11TTK-2826-SM-5GU5K,SAMN02792716,Brain - Cerebellum,39167718,1146889,30910,,,,,,,,,,,,,,,,,,,,,
SRR1352954,GTEX-11TTK-2926-SM-5PNYP,SAMN02790418,Brain - Cortex,50305163,2003106,51675,,,,,,,,,,,,,,,,,,,,,
SRR1469495,GTEX-11TUW-0011-R5b-SM-5BC6Q,SAMN02789083,Brain - Caudate (basal ganglia),48281086,995896,51400,,,,,,,,,,,,,,,,,,,,,
SRR1455369,GTEX-11TUW-3126-SM-5GU4Y,SAMN02792093,Brain - Cortex,33223391,979213,22534,,,,,,,,,,,,,,,,,,,,,
SRR1480307,GTEX-11UD1-0011-R1b-SM-5BC7D,SAMN02789005,Brain - Hippocampus,34361257,863711,45910,,,,,,,,,,,,,,,,,,,,,
SRR1440699,GTEX-11UD1-0011-R2b-SM-5BC6O,SAMN02792339,Brain - Substantia nigra,37832062,868712,48319,,,,,,,,,,,,,,,,,,,,,
SRR1447259,GTEX-11UD1-0011-R3a-SM-5BC6S,SAMN02788554,Brain - Anterior cingulate cortex (BA24),44010715,1141734,57778,,,,,,,,,,,,,,,,,,,,,
SRR1332856,GTEX-11UD1-0011-R5b-SM-5P9FP,SAMN02792421,Brain - Caudate (basal ganglia),64805159,1319428,78661,,,,,,,,,,,,,,,,,,,,,
SRR1500868,GTEX-11WQC-0011-R10a-SM-57WCT,SAMN02792333,Brain - Frontal Cortex (BA9),35358996,780908,30837,9,9,9,9,9,18,,,,,,,,,,,,,,,
SRR1439850,GTEX-11WQC-0011-R11b-SM-57WD6,SAMN02790674,Brain - Cerebellar Hemisphere,47318136,1336489,48135,16,16,16,16,16,27,,,,,,,,,,,,,,,
SRR1444479,GTEX-11WQC-0011-R5a-SM-5BC74,SAMN02787862,Brain - Caudate (basal ganglia),46517681,1093792,54078,,,,,,,,,,,,,,,,,,,,,
SRR1474886,GTEX-11WQC-0011-R6a-SM-5BC77,SAMN02787384,Brain - Nucleus accumbens (basal ganglia),43941504,1124162,51934,,,,,,,,,,,,,,,,,,,,,
SRR1320012,GTEX-11WQC-0011-R7b-SM-5BC7A,SAMN02789639,Brain - Putamen (basal ganglia),43504526,923818,50144,,,,,,,,,,,,,,,,,,,,,
SRR1320916,GTEX-11WQC-0011-R8b-SM-57WCH,SAMN02791985,Brain - Hypothalamus,37215228,926237,34054,3,3,2,2,2,14,,,,,,,,,,,,,,,
SRR1360128,GTEX-11WQK-0011-R10a-SM-5BC6R,SAMN02788377,Brain - Frontal Cortex (BA9),36286897,815863,41636,,,,,,,,,,,,,,,,,,,,,
SRR1430817,GTEX-11WQK-0011-R11a-SM-5BC6W,SAMN02787758,Brain - Cerebellar Hemisphere,41489600,1207693,57544,,,,,,,,,,,,,,,,,,,,,
SRR1332317,GTEX-11WQK-0011-R8a-SM-5BC7C,SAMN02788104,Brain - Hypothalamus,38282148,1009720,44102,,,,,,,,,,,,,,,,,,,,,
SRR1325401,GTEX-11WQK-0011-R9b-SM-5BC6N,SAMN02787647,Brain - Spinal cord (cervical c-1),43217022,1044094,53601,,,,,,,,,,,,,,,,,,,,,
SRR1355150,GTEX-11WQK-3026-SM-5EQL6,SAMN02792592,Brain - Cortex,39643422,908669,33143,,,,,,,,,,,,,,,,,,,,,
SRR1440013,GTEX-11WQK-3126-SM-5EGI2,SAMN02792626,Brain - Cerebellum,35879535,1151940,49647,,,,,,,,,,,,,,,,,,,,,
SRR1368964,GTEX-11ZTS-0011-R1a-SM-5BC71,SAMN02788097,Brain - Hippocampus,45247034,1675518,55403,,,,,,,,,,,,,,,,,,,,,
SRR1475675,GTEX-11ZTS-0011-R2b-SM-5BC75,SAMN02792038,Brain - Substantia nigra,45708616,998781,54266,,,,,,,,,,,,,,,,,,,,,
SRR1353221,GTEX-11ZTS-0011-R3a-SM-5BC78,SAMN02787230,Brain - Anterior cingulate cortex (BA24),39545073,901069,44719,,,,,,,,,,,,,,,,,,,,,
SRR1313426,GTEX-11ZTS-0011-R8a-SM-57WDI,SAMN02790398,Brain - Hypothalamus,40813709,875063,32547,3,3,3,3,3,11,,,,,,,,,,,,,,,
SRR1379562,GTEX-11ZTS-3226-SM-5EGID,SAMN02789880,Brain - Cerebellum,43185054,1393400,58498,,,,,,,,,,,,,,,,,,,,,
SRR1410912,GTEX-11ZU8-0011-R3a-SM-5BC6U,SAMN02789897,Brain - Anterior cingulate cortex (BA24),37699156,1003885,44720,,,,,,,,,,,,,,,,,,,,,
SRR1360150,GTEX-11ZU8-0011-R4a-SM-5BC6Y,SAMN02790878,Brain - Amygdala,35929567,828991,40332,,,,,,,,,,,,,,,,,,,,,
SRR1342045,GTEX-11ZUS-0011-R10b-SM-5BC79,SAMN02787212,Brain - Frontal Cortex (BA9),44376208,882369,51083,,,,,,,,,,,,,,,,,,,,,
SRR1432321,GTEX-11ZUS-0011-R11b-SM-5BC7B,SAMN02791911,Brain - Cerebellar Hemisphere,42003056,1121091,55124,,,,,,,,,,,,,,,,,,,,,
SRR1431183,GTEX-11ZUS-0011-R8a-SM-5BC73,SAMN02788286,Brain - Hypothalamus,38083042,871131,43230,,,,,,,,,,,,,,,,,,,,,
SRR1401295,GTEX-11ZUS-0011-R9b-SM-5BC76,SAMN02790396,Brain - Spinal cord (cervical c-1),43467492,1085965,49844,,,,,,,,,,,,,,,,,,,,,
SRR1348770,GTEX-11ZUS-2826-SM-5EQKW,SAMN02789509,Brain - Cerebellum,56952372,1642571,58184,,,,,,,,,,,,,,,,,,,,,
SRR1335400,GTEX-11ZUS-2926-SM-5FQSL,SAMN02790483,Brain - Cortex,42520253,779845,37832,,,,,,,,,,,,,,,,,,,,,
SRR1322768,GTEX-11ZVC-0011-R1b-SM-5BC6M,SAMN02792400,Brain - Hippocampus,37844827,856744,41477,,,,,,,,,,,,,,,,,,,,,
SRR1370240,GTEX-11ZVC-0011-R3a-SM-5BC6V,SAMN02787808,Brain - Anterior cingulate cortex (BA24),90442862,1880901,98374,,,,,,,,,,,,,,,,,,,,,
SRR1417202,GTEX-11ZVC-0011-R4a-SM-5BC6Z,SAMN02793143,Brain - Amygdala,43234205,919014,48351,,,,,,,,,,,,,,,,,,,,,
SRR1396659,GTEX-11ZVC-0011-R9a-SM-57WC5,SAMN02790531,Brain - Spinal cord (cervical c-1),39104891,857161,31220,16,16,16,16,16,20,,,,,,,,,,,,,,,
SRR1467813,GTEX-11ZVC-3026-SM-59HJM,SAMN02793002,Brain - Cerebellum,56453337,1850171,78284,,,,,,,,,,,,,,,,,,,,,
SRR1375571,GTEX-12126-0011-R10b-SM-5BC6T,SAMN02789802,Brain - Frontal Cortex (BA9),45018064,957927,58358,,,,,,,,,,,,,,,,,,,,,
SRR1394147,GTEX-12126-0011-R11a-SM-5BC6X,SAMN02791782,Brain - Cerebellar Hemisphere,44573228,1137134,63339,,,,,,,,,,,,,,,,,,,,,
SRR1320071,GTEX-12126-0011-R9b-SM-5BC6P,SAMN02788198,Brain - Spinal cord (cervical c-1),48635366,1002666,60283,,,,,,,,,,,,,,,,,,,,,
SRR1401062,GTEX-12126-0926-SM-5FQTW,SAMN02790239,Brain - Cerebellum,45518945,1161503,52071,,,,,,,,,,,,,,,,,,,,,
SRR1327593,GTEX-12126-1026-SM-5P9JJ,SAMN02791997,Brain - Cortex,55187689,1112107,64276,,,,,,,,,,,,,,,,,,,,,
SRR1325964,GTEX-1212Z-0011-R1b-SM-5BC72,SAMN02793597,Brain - Hippocampus,35971702,774480,41165,,,,,,,,,,,,,,,,,,,,,
SRR1500617,GTEX-12584-0011-R6a-SM-5NQ7C,SAMN02793495,Brain - Nucleus accumbens (basal ganglia),40701465,712369,23513,2,2,2,2,2,1,,,,,,,,,,,,,,,
SRR1399201,GTEX-12696-2926-SM-5FQTG,SAMN02790023,Brain - Cortex,45148960,947419,45530,,,,,,,,,,,,,,,,,,,,,
SRR1402239,GTEX-12696-3026-SM-5FQTU,SAMN02790913,Brain - Cerebellum,37764237,841712,40579,,,,,,,,,,,,,,,,,,,,,
SRR1341057,GTEX-1269C-0011-R4b-SM-5P9ES,SAMN02791128,Brain - Amygdala,37837092,1177222,73515,,,,,,,,,,,,,,,,,,,,,
SRR1375271,GTEX-1269C-3126-SM-5EGI6,SAMN02790821,Brain - Cerebellum,34055840,877188,41270,,,,,,,,,,,,,,,,,,,,,
SRR1433796,GTEX-12WS9-0011-R10a-SM-57WBV,SAMN02789032,Brain - Frontal Cortex (BA9),39476051,1167953,35179,15,15,15,15,15,23,,,,,,,,,,,,,,,
SRR1498482,GTEX-12WS9-0011-R2a-SM-5CVNE,SAMN02790736,Brain - Substantia nigra,46045655,1103204,63006,,,,,,,,,,,,,,,,,,,,,
SRR1335707,GTEX-12WS9-0011-R3a-SM-5CVNF,SAMN02788036,Brain - Anterior cingulate cortex (BA24),40088472,1040032,58819,,,,,,,,,,,,,,,,,,,,,
SRR1395951,GTEX-12WS9-0011-R4b-SM-5P9EU,SAMN02788490,Brain - Amygdala,68639247,1576125,78803,,,,,,,,,,,,,,,,,,,,,
SRR1381543,GTEX-12WS9-0011-R5b-SM-5P9EV,SAMN02793787,Brain - Caudate (basal ganglia),70427836,1583622,83888,,,,,,,,,,,,,,,,,,,,,
SRR1370262,GTEX-12WS9-0011-R6a-SM-5P9EW,SAMN02790150,Brain - Nucleus accumbens (basal ganglia),79168684,1694927,92867,,,,,,,,,,,,,,,,,,,,,
SRR1485290,GTEX-12WS9-2826-SM-5FQU9,SAMN02791506,Brain - Cerebellum,38288732,935456,42061,,,,,,,,,,,,,,,,,,,,,
SRR1388480,GTEX-12WS9-2926-SM-5EGL8,SAMN02791320,Brain - Cortex,45181338,875803,33098,,,,,,,,,,,,,,,,,,,,,
SRR1316940,GTEX-12WSA-0011-R10b-SM-5P9ET,SAMN02792033,Brain - Frontal Cortex (BA9),70832020,1695897,90045,,,,,,,,,,,,,,,,,,,,,
SRR1414684,GTEX-12WSA-0011-R2a-SM-57WDK,SAMN02789695,Brain - Substantia nigra,41677545,1098923,33495,8,8,8,8,8,15,,,,,,,,,,,,,,,
SRR1421093,GTEX-12WSA-0011-R4a-SM-57WB7,SAMN02787247,Brain - Amygdala,41727953,1420761,31334,6,6,6,6,6,14,,,,,,,,,,,,,,,
SRR1453569,GTEX-12WSA-0011-R5b-SM-5GU5I,SAMN02788905,Brain - Caudate (basal ganglia),39431477,989920,24603,,,,,,,,,,,,,,,,,,,,,
SRR1458044,GTEX-12WSA-0011-R7b-SM-5GU5U,SAMN02792220,Brain - Putamen (basal ganglia),35209431,968177,22351,,,,,,,,,,,,,,,,,,,,,
SRR1433600,GTEX-12WSA-0011-R8a-SM-5P9EX,SAMN02787738,Brain - Hypothalamus,73248240,1645864,97779,,,,,,,,,,,,,,,,,,,,,
SRR1396078,GTEX-12WSA-2926-SM-5EQ4D,SAMN02788635,Brain - Cortex,43816000,881276,31809,,,,,,,,,,,,,,,,,,,,,
SRR1485789,GTEX-12WSB-0011-R11b-SM-57WBJ,SAMN02792884,Brain - Cerebellar Hemisphere,44958456,1346297,44306,21,21,21,21,20,53,,,,,,,,,,,,,,,
SRR1355373,GTEX-12WSB-0011-R1b-SM-5P9EY,SAMN02791346,Brain - Hippocampus,66334606,1478003,78717,,,,,,,,,,,,,,,,,,,,,
SRR1365828,GTEX-12WSB-0011-R5b-SM-5GU67,SAMN02791127,Brain - Caudate (basal ganglia),39801524,1128269,25493,,,,,,,,,,,,,,,,,,,,,
SRR1410656,GTEX-12WSB-0011-R6b-SM-5GU6J,SAMN02787624,Brain - Nucleus accumbens (basal ganglia),39609101,1212407,27101,,,,,,,,,,,,,,,,,,,,,
SRR1421305,GTEX-12WSB-0011-R7b-SM-5GU6V,SAMN02792597,Brain - Putamen (basal ganglia),33179858,967289,21624,,,,,,,,,,,,,,,,,,,,,
SRR1350107,GTEX-12WSB-3026-SM-59HKM,SAMN02792723,Brain - Cerebellum,34617689,1079706,46926,,,,,,,,,,,,,,,,,,,,,
SRR1435775,GTEX-12WSC-0011-R10a-SM-5GU57,SAMN02788184,Brain - Frontal Cortex (BA9),35607143,877221,24429,,,,,,,,,,,,,,,,,,,,,
SRR1467364,GTEX-12WSC-0011-R11a-SM-5GU5J,SAMN02787954,Brain - Cerebellar Hemisphere,34920956,789991,24555,,,,,,,,,,,,,,,,,,,,,
SRR1387199,GTEX-12WSC-0011-R3a-SM-5P9F1,SAMN02791962,Brain - Anterior cingulate cortex (BA24),71039109,1516112,84299,,,,,,1,,,,,,,,,,,,,,,
SRR1418923,GTEX-12WSC-0011-R5b-SM-5CVNS,SAMN02789991,Brain - Caudate (basal ganglia),45006951,1292118,67505,,,,,,,,,,,,,,,,,,,,,
SRR1340907,GTEX-12WSC-0011-R6b-SM-5LU99,SAMN02788371,Brain - Nucleus accumbens (basal ganglia),35618163,1038226,36918,,,,,,,,,,,,,,,,,,,,,
SRR1366433,GTEX-12WSC-0011-R7b-SM-5LU9L,SAMN02792141,Brain - Putamen (basal ganglia),32780803,871493,34434,,,,,,,,,,,,,,,,,,,,,
SRR1370129,GTEX-12WSC-0011-R9a-SM-5GU4U,SAMN02790704,Brain - Spinal cord (cervical c-1),48776022,1212664,33606,,,,,,,,,,,,,,,,,,,,,
SRR1361714,GTEX-12WSC-2926-SM-5BC5Z,SAMN02790030,Brain - Cerebellum,50624030,1495532,72377,,,,,,,,,,,,,,,,,,,,,
SRR1399028,GTEX-12WSC-3026-SM-5GCNF,SAMN02789658,Brain - Cortex,39601598,825926,49602,,,,,,,,,,,,,,,,,,,,,
SRR1471817,GTEX-12WSD-0011-R10b-SM-5GU79,SAMN02790764,Brain - Frontal Cortex (BA9),30933390,875814,21176,,,,,,,1,1,1,1,,,,,,,,,,,
SRR1329090,GTEX-12WSD-0011-R1b-SM-5LZVY,SAMN02787577,Brain - Hippocampus,38221844,957083,49518,,,,,,,,,,,,,,,,,,,,,
SRR1389348,GTEX-12WSD-0011-R2a-SM-5LZWB,SAMN02787639,Brain - Substantia nigra,34812015,701236,42684,,,,,,,,,,,,,,,,,,,,,
SRR1361674,GTEX-12WSD-0011-R3b-SM-5LZWN,SAMN02792618,Brain - Anterior cingulate cortex (BA24),35700398,759811,41585,,,,,,,,,,,,,,,,,,,,,
SRR1333352,GTEX-12WSD-0011-R4b-SM-5LZUA,SAMN02792803,Brain - Amygdala,40151055,868929,46376,,,,,,,,,,,,,,,,,,,,,
SRR1434138,GTEX-12WSD-0011-R5b-SM-5CVNG,SAMN02788308,Brain - Caudate (basal ganglia),45121665,1269103,67270,,,,,,,,,,,,,,,,,,,,,
SRR1321183,GTEX-12WSD-0011-R6b-SM-5P9JU,SAMN02788143,Brain - Nucleus accumbens (basal ganglia),58540235,1267582,66513,,,,,,,,,,,,,,,,,,,,,
SRR1457597,GTEX-12WSD-0011-R7b-SM-5PNWE,SAMN02787393,Brain - Putamen (basal ganglia),38003774,669884,27481,,,,,,,,,,,,,,,,,,,,,
SRR1430248,GTEX-12WSD-0011-R9a-SM-5GU6W,SAMN02789182,Brain - Spinal cord (cervical c-1),30330852,1039706,22973,,,,,,,,,,,,,,,,,,,,,
SRR1322010,GTEX-12WSD-3026-SM-5LZU7,SAMN02791211,Brain - Cerebellum,48528549,1383715,59805,,,,,,,,,,,,,,,,,,,,,
