  ,SFHH011AA,SFHH011AB,SFHH011AC,SFHH011AD,SFHH011AE,SFHH011AF,SFHH011AG,SFHH011AH,SFHH011AI,SFHH011AJ,SFHH011AK,SFHH011AL,SFHH011AM,SFHH011AN,SFHH011AO,SFHH011AP,SFHH011AQ,SFHH011AR,SFHH011A,SFHH011AS,SFHH011AT,SFHH011AU,SFHH011AV,SFHH011AW,SFHH011AX,SFHH011AY,SFHH011AZ,SFHH011BA,SFHH011BB,SFHH011BC,SFHH011BD,SFHH011BE,SFHH011BF,SFHH011BG,SFHH011BH,SFHH011BI,SFHH011BJ,SFHH011BK,SFHH011BL,SFHH011BM,SFHH011BN,SFHH011BO,SFHH011BP,SFHH011BQ,SFHH011BR,SFHH011B,SFHH011BS,SFHH011BT,SFHH011BU,SFHH011BV,SFHH011BW,SFHH011BX,SFHH011BY,SFHH011BZ,SFHH011CA,SFHH011CB,SFHH011CC,SFHH011CD,SFHH011CE,SFHH011CF,SFHH011CG,SFHH011CH,SFHH011C,SFHH011D,SFHH011E,SFHH011F,SFHH011G,SFHH011H,SFHH011I,SFHH011J,SFHH011K,SFHH011L,SFHH011M,SFHH011N,SFHH011O,SFHH011P,SFHH011Q,SFHH011R,SFHH011S,SFHH011T,SFHH011U,SFHH011V,SFHH011W,SFHH011X,SFHH011Y,SFHH011Z
q15 adapter Trim Ave R1 Read Length,131.418,132.762,129.342,136.293,135.343,132.661,132.069,133.23,131.761,134.433,127.923,114.641,115.781,131.215,126.403,131.513,124.039,131.977,130.233,130.823,132.577,121.99,129.584,130.574,136.646,126.675,127.663,130.266,126.835,127.318,132.313,133.585,130.594,135.918,137.038,132.902,118.65,134.908,130.562,131.119,130.82,129.644,119.05,131.026,133.814,132.983,138.3,124.389,132.395,127.552,128.29,129.245,126.628,,,,,,,,,,131.454,137.771,130.03,139.913,123.718,131.831,126.39,140.596,137.52,138.238,132.448,135.277,135.603,128.287,129.877,141.635,125.4,117.395,134.691,129.824,134.569,126.891,131.319,131.435
q15 poly Trim Read Count,10972147,7650061,6993560,9905549,8800789,9336217,11065766,8018115,9954435,7392179,6203938,5218751,5831257,10345213,7901430,9414303,11262400,10352404,9664465,9766109,3123247,6352471,9923963,2585679,5911183,5903937,8338387,5634601,5551150,9195358,11541128,8665078,6581080,2976137,6830622,10479016,10376965,7424909,3762883,8140761,7561449,3542815,2804159,11267594,9503734,6846,8998286,7278465,11258829,9926460,10141924,7757289,7300196,,,,,,,,,,7414191,10794448,9112622,11697603,6523339,7755860,7270079,9893662,6392708,8169231,6390805,6406229,9596299,10236117,5798131,7692496,2918773,4745439,11335895,5827426,9394916,10490099,9264210,6698535
q15 poly Trim % Read Count,95.32,93.96,85.50,96.20,94.77,92.63,95.11,90.67,93.65,87.66,91.72,89.57,87.54,92.80,85.16,88.54,93.57,94.33,94.81,94.77,87.12,75.24,85.47,90.62,92.34,91.50,92.59,90.29,86.34,87.66,90.94,94.93,87.06,94.60,96.69,93.47,94.05,96.73,94.24,93.54,92.98,82.68,70.18,95.80,94.92,90.86,95.29,79.47,95.13,90.17,93.22,86.22,90.38,,,,,,,,,,94.89,96.95,93.22,97.49,87.89,94.88,88.87,96.14,90.77,93.18,89.78,95.01,94.64,94.11,92.57,95.98,83.16,68.25,94.76,96.73,92.90,84.29,94.80,85.20
q15 poly Trim Ave R1 Read Length,96.7905,100.521,105.264,110.761,109.524,104.603,96.8768,103.546,99.3993,106.198,93.591,84.4214,84.244,100.133,96.9916,98.4909,90.8325,96.8441,95.4335,101.585,105.629,109.791,100.369,91.419,110.092,91.9518,91.0892,96.5933,93.1793,94.9545,93.5861,100.84,98.638,99.7503,108.998,101.921,86.1475,103.645,96.4135,97.6521,96.6375,102.894,93.868,99.2553,104.177,92.3776,114.922,90.4427,99.8043,89.0318,92.6055,96.9779,86.1681,,,,,,,,,,96.4993,107.52,94.9529,110.427,88.261,98.8652,95.2646,115.004,107.494,116.776,99.3548,103.98,104.675,93.3422,99.0875,114.585,94.1809,106.413,103.415,103.113,108.271,100.967,101.005,109.43
q15 hg38 aligned Count,10088655,7092161,6387419,9354701,8281450,8697606,10217977,7326831,9117820,6808167,5607226,4681098,5232349,9588320,7061303,8562863,10186283,9456320,8852237,9035797,2887428,5846985,9007397,2341092,5467463,5316075,7525381,5103730,4969476,8218341,10490146,8013895,5997982,2763298,6440601,9649361,8458331,6914531,3478666,7469843,6915193,3275898,2468309,10389321,8817049,6211,8391122,6153408,,8712073,,,,,,,,,,,,,6806651,10095681,8250241,11012633,5751989,7124359,6511628,9376342,5813455,7685359,5817406,5962469,8917327,9306892,5303739,7252358,2557835,4235418,10541409,5245201,8807746,9528306,8573875,6168683
q15 hg38 aligned %,91.94,92.70,91.33,94.43,94.09,93.15,92.33,91.37,91.59,92.09,90.38,89.69,89.72,92.68,89.36,90.95,90.44,91.34,91.59,92.52,92.44,92.04,90.76,90.54,92.49,90.04,90.24,90.57,89.52,89.37,90.89,92.48,91.13,92.84,94.29,92.08,81.51,93.12,92.44,91.75,91.45,92.46,88.02,92.20,92.77,90.72,93.25,84.54,,87.76,,,,,,,,,,,,,91.80,93.52,90.53,94.14,88.17,91.85,89.56,94.77,90.93,94.07,91.02,93.07,92.92,90.92,91.47,94.27,87.63,89.25,92.99,90.00,93.75,90.83,92.54,92.09
q15 hg38 unaligned Count,883492,557900,606141,550848,519339,638611,847789,691284,836615,584012,596712,537653,598908,756893,840127,851440,1076117,896084,812228,730312,235819,505486,916566,244587,443720,587862,813006,530871,581674,977017,1050982,651183,583098,212839,390021,829655,1918634,510378,284217,670918,646256,266917,335850,878273,686685,635,607164,1125057,,1214387,,,,,,,,,,,,,607540,698767,862381,684970,771350,631501,758451,517320,579253,483872,573399,443760,678972,929225,494392,440138,360938,510021,794486,582225,587170,961793,690335,529852
q15 hg38 unaligned %,8.05,7.29,8.66,5.56,5.90,6.84,7.66,8.62,8.40,7.90,9.61,10.30,10.27,7.31,10.63,9.04,9.55,8.65,8.40,7.47,7.55,7.95,9.23,9.45,7.50,9.95,9.75,9.42,10.47,10.62,9.10,7.51,8.86,7.15,5.70,7.91,18.48,6.87,7.55,8.24,8.54,7.53,11.97,7.79,7.22,9.27,6.74,15.45,,12.23,,,,,,,,,,,,,8.19,6.47,9.46,5.85,11.82,8.14,10.43,5.22,9.06,5.92,8.97,6.92,7.07,9.07,8.52,5.72,12.36,10.74,7.00,9.99,6.24,9.16,7.45,7.90
q15 hg38 deduped Count,7302912,5264262,3022039,7690687,6567123,5658441,7218478,4833082,5484142,3239275,1758795,3433622,3336055,3826568,3016569,4100840,5693219,6031783,5819733,7432804,2293578,2631962,4486869,2043658,1483027,3073648,4559492,2422154,1864035,5262547,6325175,6221456,3230005,2240554,4699970,6319537,4957597,4837141,1962436,3811379,3552995,1375200,678117,,5534538,5999,2770431,1434818,,,,,,,,,,,,,,,5233413,7250311,5356057,7304372,2107995,5334637,2772832,8218352,1774611,5864830,3334491,4912280,6212416,6147543,2567434,5324940,1484288,2091409,7965681,1171117,5973526,3572355,6217173,2755364
q15 hg38 deduped aligned %,72.38,74.22,47.31,82.21,79.29,65.05,70.64,65.96,60.14,47.57,31.36,73.35,63.75,39.90,42.71,47.89,55.89,63.78,65.74,82.25,79.43,45.01,49.81,87.29,27.12,57.81,60.58,47.45,37.50,64.03,60.29,77.63,53.85,81.08,72.97,65.49,58.61,69.95,56.41,51.02,51.37,41.97,27.47,,62.77,96.58,33.01,23.31,,,,,,,,,,,,,,,76.88,71.81,64.92,66.32,36.64,74.87,42.58,87.64,30.52,76.31,57.31,82.38,69.66,66.05,48.40,73.42,58.02,49.37,75.56,22.32,67.82,37.49,72.51,44.66
