  ,SFHH005aa,SFHH005aa,SFHH005aa,SFHH005aa,SFHH005aa,SFHH005aa,SFHH005ab,SFHH005ab,SFHH005ab,SFHH005ab,SFHH005ab,SFHH005ab,SFHH005ac,SFHH005ac,SFHH005ac,SFHH005ac,SFHH005ac,SFHH005ac,SFHH005ad,SFHH005ad,SFHH005ad,SFHH005ad,SFHH005ad,SFHH005ad,SFHH005ae,SFHH005ae,SFHH005ae,SFHH005ae,SFHH005ae,SFHH005ae,SFHH005af,SFHH005af,SFHH005af,SFHH005af,SFHH005af,SFHH005af,SFHH005ag,SFHH005ag,SFHH005ag,SFHH005ag,SFHH005ag,SFHH005ag,SFHH005ah,SFHH005ah,SFHH005ah,SFHH005ah,SFHH005ah,SFHH005ah,SFHH005ai,SFHH005ai,SFHH005ai,SFHH005ai,SFHH005ai,SFHH005ai,SFHH005aj,SFHH005aj,SFHH005aj,SFHH005aj,SFHH005aj,SFHH005aj,SFHH005ak,SFHH005ak,SFHH005ak,SFHH005ak,SFHH005ak,SFHH005ak,SFHH005al,SFHH005al,SFHH005al,SFHH005al,SFHH005al,SFHH005al,SFHH005am,SFHH005am,SFHH005am,SFHH005am,SFHH005am,SFHH005am,SFHH005an,SFHH005an,SFHH005an,SFHH005an,SFHH005an,SFHH005an,SFHH005ao,SFHH005ao,SFHH005ao,SFHH005ao,SFHH005ao,SFHH005ao,SFHH005ap,SFHH005ap,SFHH005ap,SFHH005ap,SFHH005ap,SFHH005ap,SFHH005aq,SFHH005aq,SFHH005aq,SFHH005aq,SFHH005aq,SFHH005aq,SFHH005ar,SFHH005ar,SFHH005ar,SFHH005ar,SFHH005ar,SFHH005ar,SFHH005a,SFHH005a,SFHH005a,SFHH005a,SFHH005a,SFHH005a,SFHH005b,SFHH005b,SFHH005b,SFHH005b,SFHH005b,SFHH005b,SFHH005c,SFHH005c,SFHH005c,SFHH005c,SFHH005c,SFHH005c,SFHH005d,SFHH005d,SFHH005d,SFHH005d,SFHH005d,SFHH005d,SFHH005e,SFHH005e,SFHH005e,SFHH005e,SFHH005e,SFHH005e,SFHH005f,SFHH005f,SFHH005f,SFHH005f,SFHH005f,SFHH005f,SFHH005g,SFHH005g,SFHH005g,SFHH005g,SFHH005g,SFHH005g,SFHH005h,SFHH005h,SFHH005h,SFHH005h,SFHH005h,SFHH005h,SFHH005i,SFHH005i,SFHH005i,SFHH005i,SFHH005i,SFHH005i,SFHH005j,SFHH005j,SFHH005j,SFHH005j,SFHH005j,SFHH005j,SFHH005k,SFHH005k,SFHH005k,SFHH005k,SFHH005k,SFHH005k,SFHH005l,SFHH005l,SFHH005l,SFHH005l,SFHH005l,SFHH005l,SFHH005m,SFHH005m,SFHH005m,SFHH005m,SFHH005m,SFHH005m,SFHH005n,SFHH005n,SFHH005n,SFHH005n,SFHH005n,SFHH005n,SFHH005o,SFHH005o,SFHH005o,SFHH005o,SFHH005o,SFHH005o,SFHH005p,SFHH005p,SFHH005p,SFHH005p,SFHH005p,SFHH005p,SFHH005q,SFHH005q,SFHH005q,SFHH005q,SFHH005q,SFHH005q,SFHH005r,SFHH005r,SFHH005r,SFHH005r,SFHH005r,SFHH005r,SFHH005s,SFHH005s,SFHH005s,SFHH005s,SFHH005s,SFHH005s,SFHH005t,SFHH005t,SFHH005t,SFHH005t,SFHH005t,SFHH005t,SFHH005u,SFHH005u,SFHH005u,SFHH005u,SFHH005u,SFHH005u,SFHH005v,SFHH005v,SFHH005v,SFHH005v,SFHH005v,SFHH005v,SFHH005w,SFHH005w,SFHH005w,SFHH005w,SFHH005w,SFHH005w,SFHH005x,SFHH005x,SFHH005x,SFHH005x,SFHH005x,SFHH005x,SFHH005y,SFHH005y,SFHH005y,SFHH005y,SFHH005y,SFHH005y,SFHH005z,SFHH005z,SFHH005z,SFHH005z,SFHH005z,SFHH005z
STAR Aligned to Transcriptome,6486,11067,11017,7040,7294,7295,11683,19699,19581,12712,13078,13067,7981,15518,15356,8678,8947,8950,12574,22221,22039,13553,13922,13927,7677,13066,13018,8247,8543,8550,8951,16466,16396,9640,9912,9893,7882,13208,13200,8241,8546,8541,9831,16900,16711,10044,10333,10347,8292,14615,14532,8571,8899,8890,9655,19253,19099,10375,10586,10552,11552,22365,22318,12590,12866,12876,8215,13456,13344,8071,8374,8378,15808,27763,27495,17484,17704,17712,2633,29727,29665,3281,3470,3469,10808,20834,20750,11872,12131,12112,13973,24811,24579,15607,15859,15868,3911,30065,29856,4437,4646,4645,24228,43916,43267,26102,26482,26481,19486,29062,28780,20306,20365,20328,36239,29000,28011,40239,40250,40244,16001,26075,26080,17234,17282,17261,25276,32051,30998,30741,30778,30775,22764,21284,20911,22266,22333,22292,19734,20725,20388,20585,20629,20609,12083,20858,20736,11630,11823,11702,29264,31662,31370,29982,30063,30056,12040,17535,17410,11813,11856,11834,30985,27621,27214,33675,33704,33708,6855,9789,9716,5892,6142,6136,10346,18590,18477,10542,10741,10745,6893,12449,12310,7471,7817,7822,13151,23856,23842,14050,14109,14103,5658,10795,10730,6043,6266,6273,7445,13513,13507,8299,8566,8566,6245,11833,11760,6771,6994,6997,6257,10826,10775,6772,6976,6974,5922,9930,9824,6253,6494,6490,18157,30254,30128,19615,19918,19911,11361,19157,18948,11899,12271,12270,,,,,,,6339,10920,10897,6277,6492,6467,5709,10336,10353,6017,6246,6243,7827,12597,12512,8322,8525,8496,7703,13744,13618,8198,8486,8478
STAR Aligned to Transcriptome %,6.51,3.87,3.85,5.44,5.58,5.56,6.50,3.90,3.87,5.52,5.64,5.61,5.80,4.00,3.96,4.88,4.99,4.98,6.57,4.00,3.96,5.59,5.70,5.68,6.48,3.90,3.88,5.34,5.48,5.46,6.29,4.13,4.11,5.11,5.21,5.17,6.76,4.04,4.03,5.53,5.69,5.67,6.31,3.91,3.86,5.07,5.18,5.17,6.68,3.99,3.96,5.40,5.57,5.54,5.09,3.74,3.71,4.29,4.33,4.28,6.56,4.14,4.13,5.65,5.74,5.72,6.36,3.91,3.87,4.95,5.09,5.07,6.51,3.99,3.95,5.64,5.67,5.64,5.26,7.45,7.43,4.54,4.70,4.66,6.66,4.19,4.17,5.72,5.79,5.75,6.41,3.97,3.92,5.66,5.72,5.69,6.17,6.54,6.49,5.38,5.49,5.41,6.78,4.41,4.34,5.65,5.70,5.64,5.88,3.96,3.91,4.70,4.70,4.66,8.91,3.38,3.26,7.79,7.77,7.73,6.48,4.06,4.06,5.44,5.43,5.40,8.83,4.11,3.97,8.05,8.03,7.99,7.28,3.69,3.62,5.45,5.45,5.42,7.10,3.71,3.65,5.67,5.67,5.64,4.89,4.16,4.14,3.57,3.60,3.54,7.56,3.90,3.86,5.76,5.75,5.72,5.79,3.78,3.75,4.34,4.33,4.29,7.88,3.38,3.33,6.76,6.75,6.72,7.24,4.33,4.29,4.86,5.04,5.02,8.59,4.35,4.32,6.48,6.54,6.49,6.93,3.85,3.80,5.79,5.99,5.97,8.25,4.27,4.26,6.48,6.46,6.42,7.07,4.14,4.11,5.80,5.94,5.92,6.77,4.02,4.01,5.76,5.88,5.84,6.82,4.03,4.00,5.53,5.64,5.60,7.28,4.07,4.04,5.77,5.89,5.85,6.76,3.90,3.85,5.57,5.74,5.72,6.69,3.98,3.96,5.69,5.74,5.70,7.07,4.07,4.02,5.83,5.97,5.96,,,,,,,5.79,4.00,3.99,4.42,4.53,4.50,6.62,4.04,4.04,5.32,5.48,5.45,5.67,3.85,3.82,4.67,4.75,4.71,6.02,3.88,3.83,5.03,5.17,5.14
STAR Aligned to Genome,47341,127219,125948,56365,56730,56791,91923,239243,233550,111042,111756,111778,75547,189173,185480,92741,93181,93212,97631,263744,257245,118086,118751,118913,58587,153486,150983,69667,70133,70225,71669,186075,183957,86483,86941,87036,57299,151025,148561,67883,68319,68372,82580,206943,202678,99857,100339,100449,61278,168855,166173,73736,74192,74317,120079,262174,258178,151110,151806,151998,87299,253456,249027,105643,106158,106324,67246,161902,158915,80207,80729,80842,127445,331492,323411,155710,156333,156445,23314,194149,190903,33779,34148,34247,79257,231001,226321,95461,96007,96142,111929,297572,289137,136368,136870,137070,30987,209850,206645,39056,39580,39773,181420,479744,465691,220408,221381,221765,171801,353828,347358,205981,206247,206063,172426,324824,307397,193154,193196,193287,119783,303706,299500,141590,141835,141897,125752,346920,327160,153718,153901,154015,123327,208836,203120,127666,127693,127701,109398,209453,204083,118117,118142,118188,177166,305219,303273,226202,226586,226276,149421,308841,303508,154437,154679,154765,103863,215724,213577,120309,120496,120475,155332,297768,288927,169768,169834,169890,47212,104309,102681,53910,54220,54233,51593,198358,196102,57974,58485,58849,48755,145097,141927,59111,59635,59687,70419,251996,250399,80451,80701,80836,37944,118851,116645,44927,45408,45502,53718,153347,151246,64399,64863,64996,42261,127859,125435,49959,50359,50432,37911,114299,112537,44403,44738,44770,42121,114393,112143,49989,50366,50391,142904,363517,356420,173205,173976,174139,79933,220334,213684,95631,96294,96356,,,,,,,60284,132551,131581,71893,72142,72086,38871,110995,109499,45218,45553,45624,85309,173158,170966,105314,105615,105502,70242,171373,168613,85969,86449,86533
STAR Aligned to Genome %,47.54,44.53,44.03,43.55,43.44,43.33,51.19,47.41,46.21,48.27,48.23,48.06,54.94,48.87,47.85,52.24,52.05,51.87,51.08,47.52,46.27,48.73,48.68,48.52,49.47,45.89,45.08,45.14,45.00,44.88,50.44,46.72,46.14,45.87,45.69,45.48,49.15,46.19,45.38,45.57,45.55,45.41,53.04,47.94,46.87,50.48,50.39,50.22,49.41,46.17,45.37,46.50,46.48,46.37,63.41,51.03,50.20,62.50,62.16,61.78,49.64,47.00,46.12,47.47,47.40,47.24,52.11,47.10,46.17,49.20,49.09,48.95,52.50,47.72,46.49,50.30,50.11,49.89,46.66,48.68,47.84,46.83,46.34,46.08,48.85,46.52,45.51,46.00,45.87,45.67,51.41,47.66,46.22,49.47,49.39,49.16,48.94,45.69,44.95,47.44,46.84,46.34,50.79,48.28,46.80,47.79,47.65,47.27,51.92,48.23,47.31,47.73,47.59,47.32,42.40,37.87,35.81,37.39,37.34,37.16,48.52,47.34,46.64,44.76,44.59,44.40,43.96,44.50,41.92,40.26,40.17,40.02,39.47,36.24,35.23,31.29,31.21,31.07,39.36,37.54,36.55,32.55,32.47,32.36,71.81,60.98,60.55,69.49,69.09,68.57,38.63,38.10,37.42,29.71,29.60,29.45,49.96,46.61,46.10,44.22,44.02,43.76,39.52,36.48,35.37,34.09,34.04,33.88,49.91,46.14,45.38,44.55,44.54,44.42,42.84,46.46,45.88,35.64,35.64,35.59,49.03,44.98,43.92,45.81,45.70,45.56,44.18,45.11,44.76,37.12,36.97,36.85,47.43,45.65,44.74,43.17,43.09,42.97,48.91,45.67,44.99,44.70,44.54,44.38,46.19,43.57,42.69,40.80,40.61,40.41,44.15,42.99,42.27,37.89,37.78,37.55,48.12,44.98,44.02,44.60,44.57,44.43,52.69,47.86,46.86,50.28,50.17,49.91,49.79,46.88,45.40,46.89,46.91,46.81,,,,,,,55.14,48.61,48.20,50.62,50.42,50.18,45.09,43.41,42.77,40.05,39.99,39.87,61.87,52.98,52.26,59.14,58.89,58.59,54.96,48.38,47.54,52.79,52.66,52.56
STAR Unaligned,52223,158457,160076,73042,73858,74254,87640,265314,271819,118980,119956,120771,61937,197870,202116,84760,85833,86491,93500,291192,298649,124219,125171,126143,59823,180925,183925,84646,85717,86227,70417,212140,214714,102021,103306,104314,59264,175883,178798,81061,81660,82177,73087,224698,229659,97952,98757,99564,62738,196855,200058,84831,85423,85926,69276,251525,256065,90632,92378,94010,88565,285707,290867,116902,117782,118727,61776,181796,185214,82807,83706,84289,115270,363119,372133,153793,155604,157092,26649,204612,208124,38341,39531,40059,82981,265475,270912,112044,113277,114350,105760,326782,336325,139258,140222,141709,32321,249430,253026,43268,44909,46047,175746,513851,529168,240762,243131,247294,159040,379693,386858,225542,227050,229379,234185,532843,550803,323347,324165,326857,127082,337743,342639,174693,176228,177666,160274,432517,453150,228009,229216,230785,189096,367395,373415,280286,281428,283239,168478,348474,354184,244697,245616,247026,69524,195226,197532,99279,101366,103674,237336,501626,507502,365263,367791,370579,103997,247102,249660,151702,153222,154791,237690,518329,527828,328158,328952,331505,47377,121732,123566,67082,67502,67834,68830,228546,231238,104675,105610,106503,50679,177439,181176,69902,70835,71311,88944,306607,308914,136273,137584,138498,42056,141488,144059,59142,59959,60386,56101,182395,184878,79656,80740,81449,49218,165588,168364,72478,73642,74344,47946,151562,153681,72785,73650,74436,45398,139920,142556,62092,62626,63010,128274,395910,404057,171210,172732,174715,80583,249609,256971,108291,108956,109488,,,,,,,49028,140104,141388,70105,70939,71557,47318,144662,146512,67676,68356,68788,52575,153655,156140,72755,73706,74536,57555,182778,186030,76867,77689,78099
STAR Unaligned %,52.45,55.46,55.96,56.44,56.55,56.66,48.80,52.58,53.78,51.72,51.76,51.93,45.05,51.12,52.14,47.75,47.94,48.12,48.91,52.47,53.72,51.26,51.31,51.47,50.52,54.10,54.91,54.85,54.99,55.11,49.55,53.27,53.85,54.12,54.30,54.51,50.84,53.80,54.61,54.42,54.44,54.58,46.95,52.05,53.12,49.51,49.60,49.77,50.58,53.82,54.62,53.49,53.51,53.62,36.58,48.96,49.79,37.49,37.83,38.21,50.35,52.99,53.87,52.52,52.59,52.75,47.88,52.89,53.82,50.79,50.90,51.04,47.49,52.27,53.50,49.69,49.88,50.10,53.33,51.31,52.15,53.16,53.65,53.91,51.14,53.47,54.48,53.99,54.12,54.32,48.58,52.33,53.77,50.52,50.60,50.83,51.05,54.30,55.04,52.55,53.15,53.65,49.20,51.71,53.19,52.20,52.34,52.72,48.07,51.76,52.68,52.26,52.40,52.67,57.59,62.12,64.18,62.60,62.65,62.83,51.47,52.65,53.35,55.23,55.40,55.59,56.03,55.49,58.07,59.73,59.82,59.97,60.52,63.75,64.76,68.70,68.78,68.92,60.63,62.45,63.44,67.44,67.52,67.63,28.18,39.01,39.44,30.50,30.90,31.42,61.36,61.89,62.57,70.28,70.39,70.54,50.03,53.38,53.89,55.77,55.97,56.23,60.47,63.51,64.62,65.90,65.95,66.11,50.08,53.85,54.61,55.44,55.45,55.57,57.15,53.53,54.11,64.35,64.35,64.40,50.96,55.01,56.07,54.18,54.29,54.43,55.81,54.88,55.23,62.87,63.02,63.14,52.57,54.34,55.25,56.82,56.90,57.02,51.08,54.32,55.00,55.29,55.45,55.61,53.80,56.42,57.30,59.19,59.38,59.58,55.84,57.00,57.72,62.10,62.21,62.44,51.87,55.01,55.97,55.39,55.42,55.56,47.30,52.13,53.13,49.71,49.82,50.08,50.20,53.11,54.59,53.10,53.08,53.18,,,,,,,44.85,51.38,51.79,49.37,49.57,49.81,54.90,56.58,57.22,59.94,60.00,60.12,38.12,47.01,47.73,40.85,41.10,41.40,45.03,51.61,52.45,47.20,47.33,47.43
STAR Unmapped,52223,158457,160076,73042,73858,74254,87640,265314,271819,118980,119956,120771,61937,197870,202116,84760,85833,86491,93500,291192,298649,124219,125171,126143,59823,180925,183925,84646,85717,86227,70417,212140,214714,102021,103306,104314,59264,175883,178798,81061,81660,82177,73087,224698,229659,97952,98757,99564,62738,196855,200058,84831,85423,85926,69276,251525,256065,90632,92378,94010,88565,285707,290867,116902,117782,118727,61776,181796,185214,82807,83706,84289,115270,363119,372133,153793,155604,157092,26649,204612,208124,38341,39531,40059,82981,265475,270912,112044,113277,114350,105760,326782,336325,139258,140222,141709,32321,249430,253026,43268,44909,46047,175746,513851,529168,240762,243131,247294,159040,379693,386858,225542,227050,229379,234185,532843,550803,323347,324165,326857,127082,337743,342639,174693,176228,177666,160274,432517,453150,228009,229216,230785,189096,367395,373415,280286,281428,283239,168478,348474,354184,244697,245616,247026,69524,195226,197532,99279,101366,103674,237336,501626,507502,365263,367791,370579,103997,247102,249660,151702,153222,154791,237690,518329,527828,328158,328952,331505,47377,121732,123566,67082,67502,67834,68830,228546,231238,104675,105610,106503,50679,177439,181176,69902,70835,71311,88944,306607,308914,136273,137584,138498,42056,141488,144059,59142,59959,60386,56101,182395,184878,79656,80740,81449,49218,165588,168364,72478,73642,74344,47946,151562,153681,72785,73650,74436,45398,139920,142556,62092,62626,63010,128274,395910,404057,171210,172732,174715,80583,249609,256971,108291,108956,109488,,,,,,,49028,140104,141388,70105,70939,71557,47318,144662,146512,67676,68356,68788,52575,153655,156140,72755,73706,74536,57555,182778,186030,76867,77689,78099
STAR Unmapped %,52.45,55.46,55.96,56.44,56.55,56.66,48.80,52.58,53.78,51.72,51.76,51.93,45.05,51.12,52.14,47.75,47.94,48.12,48.91,52.47,53.72,51.26,51.31,51.47,50.52,54.10,54.91,54.85,54.99,55.11,49.55,53.27,53.85,54.12,54.30,54.51,50.84,53.80,54.61,54.42,54.44,54.58,46.95,52.05,53.12,49.51,49.60,49.77,50.58,53.82,54.62,53.49,53.51,53.62,36.58,48.96,49.79,37.49,37.83,38.21,50.35,52.99,53.87,52.52,52.59,52.75,47.88,52.89,53.82,50.79,50.90,51.04,47.49,52.27,53.50,49.69,49.88,50.10,53.33,51.31,52.15,53.16,53.65,53.91,51.14,53.47,54.48,53.99,54.12,54.32,48.58,52.33,53.77,50.52,50.60,50.83,51.05,54.30,55.04,52.55,53.15,53.65,49.20,51.71,53.19,52.20,52.34,52.72,48.07,51.76,52.68,52.26,52.40,52.67,57.59,62.12,64.18,62.60,62.65,62.83,51.47,52.65,53.35,55.23,55.40,55.59,56.03,55.49,58.07,59.73,59.82,59.97,60.52,63.75,64.76,68.70,68.78,68.92,60.63,62.45,63.44,67.44,67.52,67.63,28.18,39.01,39.44,30.50,30.90,31.42,61.36,61.89,62.57,70.28,70.39,70.54,50.03,53.38,53.89,55.77,55.97,56.23,60.47,63.51,64.62,65.90,65.95,66.11,50.08,53.85,54.61,55.44,55.45,55.57,57.15,53.53,54.11,64.35,64.35,64.40,50.96,55.01,56.07,54.18,54.29,54.43,55.81,54.88,55.23,62.87,63.02,63.14,52.57,54.34,55.25,56.82,56.90,57.02,51.08,54.32,55.00,55.29,55.45,55.61,53.80,56.42,57.30,59.19,59.38,59.58,55.84,57.00,57.72,62.10,62.21,62.44,51.87,55.01,55.97,55.39,55.42,55.56,47.30,52.13,53.13,49.71,49.82,50.08,50.20,53.11,54.59,53.10,53.08,53.18,,,,,,,44.85,51.38,51.79,49.37,49.57,49.81,54.90,56.58,57.22,59.94,60.00,60.12,38.12,47.01,47.73,40.85,41.10,41.40,45.03,51.61,52.45,47.20,47.33,47.43
Bowtie2 Aligned to hg38 (1),20698,85622,88859,24233,24377,24220,45673,154862,164121,55284,55418,54827,46015,133492,138848,47595,46642,45024,48643,167253,176836,59470,59521,59187,28087,103056,107334,32491,32514,32200,36487,129644,133753,35854,35103,33786,26373,97020,101352,32094,32168,32030,47125,142991,149478,53710,53369,52531,29934,112302,117363,35936,36014,35766,92543,233719,239576,86302,83237,78616,41855,160175,168509,51667,51796,51670,38797,119214,123943,43424,43156,42443,67057,217109,227881,76218,75571,74199,13957,99430,104052,14251,14132,13559,36102,141296,149011,44240,44390,44258,57091,189438,200766,70076,70045,69723,,,,,,,87959,298132,312726,102983,102191,100998,92438,229050,236348,100672,98458,95953,9131,148912,162762,11794,11942,12054,57453,193456,201210,65852,65367,64406,15881,149854,165682,19130,19197,19159,19566,107862,112988,22543,22418,22217,20734,112767,118123,24152,24014,23860,144484,267779,270844,124124,116405,107347,16132,149854,156054,19569,19974,20148,57447,162846,166378,54018,52090,49657,11734,137457,145886,14623,14804,14881,23886,74102,76685,26633,26407,25920,9156,129270,133505,11219,11817,12348,21663,94662,99588,26710,26966,26966,14571,159136,164500,17315,17487,17604,14610,81471,84761,17800,18154,18227,24223,106914,110835,28069,28406,28356,16054,89823,93189,18564,18874,18802,11538,74276,77318,13215,13506,13484,18791,76672,80117,22220,22389,22291,73055,234571,246276,85382,84829,83774,35494,136322,144997,43921,44214,43953,,,,,,,38491,102526,104840,36658,35559,34188,15333,75505,78500,17344,17466,17307,59304,132822,135817,53729,51221,48137,42210,120714,125589,44439,43457,41993
Bowtie2 Aligned to hg38 (1) %,20.78,29.97,31.06,18.72,18.66,18.48,25.43,30.69,32.47,24.03,23.91,23.57,33.46,34.49,35.82,26.81,26.05,25.05,25.45,30.13,31.81,24.54,24.40,24.15,23.72,30.81,32.04,21.05,20.86,20.58,25.67,32.55,33.54,19.02,18.45,17.65,22.62,29.67,30.96,21.54,21.44,21.27,30.27,33.12,34.57,27.15,26.80,26.26,24.13,30.70,32.04,22.66,22.56,22.31,48.87,45.49,46.58,35.70,34.08,31.95,23.79,29.70,31.21,23.21,23.12,22.95,30.07,34.68,36.01,26.63,26.24,25.70,27.62,31.25,32.76,24.62,24.22,23.66,27.93,24.93,26.07,19.76,19.18,18.24,22.25,28.45,29.96,21.31,21.21,21.02,26.22,30.34,32.09,25.42,25.27,25.01,,,,,,,24.62,30.00,31.43,22.33,21.99,21.53,27.94,31.22,32.19,23.32,22.72,22.03,2.24,17.36,18.96,2.28,2.30,2.31,23.27,30.15,31.33,20.82,20.55,20.15,5.55,19.22,21.23,5.01,5.01,4.97,6.26,18.71,19.59,5.52,5.47,5.40,7.46,20.21,21.15,6.65,6.60,6.53,58.56,53.50,54.08,38.13,35.49,32.53,4.17,18.48,19.24,3.76,3.82,3.83,27.63,35.18,35.91,19.85,19.03,18.03,2.98,16.84,17.86,2.93,2.96,2.96,25.25,32.78,33.89,22.01,21.69,21.23,7.60,30.28,31.24,6.89,7.20,7.46,21.78,29.34,30.82,20.70,20.66,20.58,9.14,28.48,29.41,7.98,8.01,8.02,18.26,31.29,32.51,17.10,17.22,17.21,22.05,31.84,32.97,19.48,19.50,19.36,17.54,30.60,31.71,15.16,15.22,15.06,13.43,27.93,29.04,11.27,11.40,11.31,21.47,30.14,31.45,19.82,19.81,19.65,26.93,30.88,32.38,24.79,24.46,24.01,22.11,29.00,30.80,21.53,21.54,21.35,,,,,,,35.21,37.60,38.40,25.81,24.85,23.80,17.78,29.53,30.66,15.36,15.33,15.12,43.01,40.64,41.52,30.17,28.56,26.73,33.02,34.08,35.41,27.29,26.47,25.50
STAR Aligned to mirna,8404,52173,51409,9512,9829,9928,15846,86678,84178,17782,18027,18088,12125,67372,66107,13026,13330,13472,16107,97129,95017,18298,18507,18604,9779,58808,57604,11090,11384,11517,11832,68589,67633,13286,13655,13852,9605,58212,57038,11021,11222,11296,13189,77862,76331,13928,14186,14289,10465,67693,66425,12194,12411,12508,15598,90891,89696,14161,14805,15146,14935,100583,98520,17383,17659,17804,10850,61721,60695,11233,11548,11723,21413,122052,119856,24003,24370,24591,8327,80591,79349,11584,11733,11817,14034,87802,85600,16467,16671,16825,18522,107557,104800,21151,21308,21488,6117,95190,93221,7920,8309,8572,29834,153361,150708,33459,33612,33751,25127,98116,96441,25408,25515,25516,34110,94378,92586,39996,40005,40008,19659,104415,102690,21470,21701,21827,29791,103721,101136,40067,40091,40118,21254,55333,54380,22570,22624,22642,20539,60344,59289,23229,23279,23304,16895,66273,65609,12235,12656,12812,28439,97969,96764,32904,33228,33361,13440,68089,67356,12887,13197,13356,30580,90880,89038,36004,36030,36029,7276,36655,35980,7297,7430,7478,9399,84203,83262,11662,12028,12281,8623,61928,60919,10108,10436,10602,13176,110561,109535,16025,16325,16487,6610,51476,50775,7789,8144,8313,9617,63931,63063,10996,11417,11626,7884,56999,56281,9319,9747,9944,7414,49543,48978,9090,9415,9586,7470,46791,45942,8492,8730,8852,23311,129786,126980,25841,26198,26321,13831,82992,81249,16172,16348,16373,,,,,,,7855,48038,47616,7433,7724,7840,6676,49336,48716,7622,7901,8033,10603,50433,49739,10237,10493,10578,10305,60839,59630,11021,11254,11349
STAR Aligned to mirna %,8.44,18.26,17.97,7.35,7.52,7.57,8.82,17.17,16.65,7.73,7.77,7.77,8.81,17.40,17.05,7.33,7.44,7.49,8.42,17.50,17.09,7.55,7.58,7.59,8.25,17.58,17.19,7.18,7.30,7.36,8.32,17.22,16.96,7.04,7.17,7.23,8.24,17.80,17.42,7.39,7.48,7.50,8.47,18.03,17.65,7.04,7.12,7.14,8.43,18.51,18.13,7.69,7.77,7.80,8.23,17.69,17.44,5.85,6.06,6.15,8.49,18.65,18.24,7.81,7.88,7.91,8.40,17.95,17.63,6.89,7.02,7.09,8.82,17.57,17.23,7.75,7.81,7.84,16.66,20.21,19.88,16.06,15.92,15.90,8.65,17.68,17.21,7.93,7.96,7.99,8.50,17.22,16.75,7.67,7.68,7.70,9.66,20.72,20.27,9.62,9.83,9.98,8.35,15.43,15.14,7.25,7.23,7.19,7.59,13.37,13.13,5.88,5.88,5.85,8.38,11.00,10.78,7.74,7.73,7.69,7.96,16.27,15.99,6.78,6.82,6.83,10.41,13.30,12.96,10.49,10.46,10.42,6.80,9.60,9.43,5.53,5.52,5.50,7.39,10.81,10.62,6.40,6.39,6.38,6.84,13.24,13.10,3.75,3.85,3.88,7.35,12.08,11.93,6.33,6.35,6.35,6.46,14.71,14.54,4.73,4.82,4.85,7.78,11.13,10.90,7.23,7.22,7.18,7.69,16.21,15.90,6.03,6.10,6.12,7.80,19.72,19.48,7.17,7.32,7.42,8.67,19.20,18.85,7.83,7.99,8.09,8.26,19.79,19.58,7.39,7.47,7.51,8.26,19.77,19.47,7.48,7.72,7.85,8.75,19.04,18.76,7.63,7.84,7.93,8.61,19.42,19.15,7.61,7.86,7.96,8.63,18.63,18.39,7.75,7.95,8.04,8.53,18.39,18.03,7.57,7.72,7.80,8.59,17.08,16.69,7.50,7.55,7.54,8.61,17.66,17.26,7.93,7.96,7.95,,,,,,,7.18,17.61,17.44,5.23,5.39,5.45,7.74,19.29,19.02,6.75,6.93,7.02,7.68,15.43,15.20,5.74,5.85,5.87,8.06,17.17,16.81,6.76,6.85,6.89
Bowtie Aligned to mirna,2466,14912,14714,2881,3009,3040,4699,23661,23047,5415,5489,5501,4054,17941,17671,4546,4640,4661,4819,26635,26188,5482,5554,5551,2998,16333,16038,3463,3600,3610,3558,17234,17057,4217,4344,4401,2778,15893,15576,3172,3261,3278,3800,21797,21403,4202,4300,4336,3286,18861,18523,3893,3984,4002,4123,23942,23689,3801,4049,4167,4525,26641,26165,5382,5490,5530,3093,17190,16955,3292,3407,3432,6420,32582,32124,7386,7549,7577,5110,9997,9891,6442,6458,6454,4255,23591,23124,5121,5202,5222,5616,29346,28635,6449,6510,6548,2152,17074,16926,2977,3095,3148,8672,38436,38138,9861,9883,9921,6884,24715,24372,7447,7479,7469,7393,21155,20814,8650,8659,8658,5632,24884,24511,6296,6373,6386,8864,22533,22189,11378,11379,11368,5022,11920,11729,5584,5610,5615,5472,14332,14108,6508,6523,6531,4280,15276,15120,3198,3369,3444,7290,21988,21691,8375,8514,8523,3505,16507,16305,3577,3683,3750,7380,21646,21239,8691,8706,8703,1919,9736,9567,1949,1996,2021,2169,17840,17570,2882,2983,3030,2494,18023,17764,2924,3097,3117,2997,25620,25330,3673,3778,3798,1829,13205,13043,2215,2348,2368,2811,16935,16727,3213,3357,3397,2406,16352,16144,2768,2936,3015,1988,13983,13791,2454,2577,2632,2169,12967,12732,2504,2600,2614,6792,35429,34792,7762,7888,7885,4081,22035,21631,4925,4977,4956,,,,,,,1886,12828,12653,1899,2025,2066,1816,13545,13410,2152,2256,2283,2791,13120,12936,2780,2864,2915,2981,16486,16214,3265,3354,3361
