study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
PRJNA507500	SAMN10496876	SRX5076804	SRR8259456	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259456/SRR8259456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259456/SRR8259456_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/006/SRR8259456	patient_56_SERUM_rep2	
PRJNA507500	SAMN10496919	SRX5076801	SRR8259459	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259459/SRR8259459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259459/SRR8259459_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/009/SRR8259459	patient_78_SERUM_rep1	
PRJNA507500	SAMN10496922	SRX5076798	SRR8259462	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259462/SRR8259462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259462/SRR8259462_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/002/SRR8259462	patient_79_SERUM_rep2	
PRJNA507500	SAMN10496776	SRX5076790	SRR8259470	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259470/SRR8259470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259470/SRR8259470_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/000/SRR8259470	patient_32_CSF_rep2	
PRJNA507500	SAMN10496773	SRX5076789	SRR8259471	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/001/SRR8259471/SRR8259471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/001/SRR8259471/SRR8259471_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/001/SRR8259471	patient_31_SERUM_rep1	
PRJNA507500	SAMN10496830	SRX5076777	SRR8259483	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259483/SRR8259483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259483/SRR8259483_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/003/SRR8259483	patient_46_CSF_rep2	
PRJNA507500	SAMN10496832	SRX5076775	SRR8259485	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259485/SRR8259485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259485/SRR8259485_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/005/SRR8259485	patient_46_SERUM_rep2	
PRJNA507500	SAMN10496764	SRX5076761	SRR8259499	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259499/SRR8259499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259499/SRR8259499_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/009/SRR8259499	patient_28_SERUM_rep2	
PRJNA507500	SAMN10496763	SRX5076760	SRR8259500	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259500/SRR8259500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259500/SRR8259500_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/000/SRR8259500	patient_28_SERUM_rep1	
PRJNA507500	SAMN10496765	SRX5076758	SRR8259502	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259502/SRR8259502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259502/SRR8259502_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/002/SRR8259502	patient_29_CSF_rep1	
PRJNA507500	SAMN10496822	SRX5076754	SRR8259506	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259506/SRR8259506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259506/SRR8259506_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/006/SRR8259506	patient_44_CSF_rep2	
PRJNA507500	SAMN10496820	SRX5076752	SRR8259508	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259508/SRR8259508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259508/SRR8259508_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/008/SRR8259508	patient_43_SERUM_rep2	
PRJNA507500	SAMN10496828	SRX5076745	SRR8259515	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259515/SRR8259515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259515/SRR8259515_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/005/SRR8259515	patient_45_SERUM_rep2	
PRJNA507500	SAMN10496906	SRX5076741	SRR8259519	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259519/SRR8259519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259519/SRR8259519_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/009/SRR8259519	patient_71_SERUM_rep2	
PRJNA507500	SAMN10496903	SRX5076740	SRR8259520	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259520/SRR8259520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259520/SRR8259520_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/000/SRR8259520	patient_70_SERUM_rep1	
PRJNA507500	SAMN10496904	SRX5076739	SRR8259521	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/001/SRR8259521/SRR8259521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/001/SRR8259521/SRR8259521_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/001/SRR8259521	patient_70_SERUM_rep2	
PRJNA507500	SAMN10496900	SRX5076735	SRR8259525	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259525/SRR8259525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259525/SRR8259525_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/005/SRR8259525	patient_68_SERUM_rep2	
PRJNA507500	SAMN10496754	SRX5076734	SRR8259526	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259526/SRR8259526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259526/SRR8259526_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/006/SRR8259526	patient_26_CSF_rep2	
PRJNA507500	SAMN10496708	SRX5076731	SRR8259529	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259529/SRR8259529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259529/SRR8259529_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/009/SRR8259529	patient_14_CSF_rep2	
PRJNA507500	SAMN10496707	SRX5076730	SRR8259530	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259530/SRR8259530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259530/SRR8259530_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/000/SRR8259530	patient_14_CSF_rep1	
PRJNA507500	SAMN10496915	SRX5076718	SRR8259542	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259542/SRR8259542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259542/SRR8259542_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/002/SRR8259542	patient_76_SERUM_rep1	
PRJNA507500	SAMN10496912	SRX5076715	SRR8259545	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259545/SRR8259545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259545/SRR8259545_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/005/SRR8259545	patient_74_SERUM_rep2	
PRJNA507500	SAMN10496717	SRX5076711	SRR8259549	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259549/SRR8259549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259549/SRR8259549_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/009/SRR8259549	patient_16_SERUM_rep1	
PRJNA507500	SAMN10496732	SRX5076847	SRR8259413	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259413/SRR8259413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259413/SRR8259413_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/003/SRR8259413	patient_20_CSF_rep2	
PRJNA507500	SAMN10496713	SRX5076707	SRR8259553	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259553/SRR8259553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259553/SRR8259553_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/003/SRR8259553	patient_15_SERUM_rep1	
PRJNA507500	SAMN10496672	SRX5076845	SRR8259415	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259415/SRR8259415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259415/SRR8259415_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/005/SRR8259415	patient_04_SERUM_rep2	
PRJNA507500	SAMN10496714	SRX5076706	SRR8259554	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/004/SRR8259554/SRR8259554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/004/SRR8259554/SRR8259554_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/004/SRR8259554	patient_15_SERUM_rep2	
PRJNA507500	SAMN10496675	SRX5076842	SRR8259418	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259418/SRR8259418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259418/SRR8259418_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/008/SRR8259418	patient_06_CSF_rep1	
PRJNA507500	SAMN10496712	SRX5076704	SRR8259556	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259556/SRR8259556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259556/SRR8259556_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/006/SRR8259556	patient_15_CSF_rep2	
PRJNA507500	SAMN10496673	SRX5076840	SRR8259420	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259420/SRR8259420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259420/SRR8259420_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/000/SRR8259420	patient_05_SERUM_rep1	
PRJNA507500	SAMN10496663	SRX5076697	SRR8259563	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259563/SRR8259563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259563/SRR8259563_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/003/SRR8259563	patient_01_SERUM_rep1	
PRJNA507500	SAMN10496674	SRX5076839	SRR8259421	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/001/SRR8259421/SRR8259421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/001/SRR8259421/SRR8259421_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/001/SRR8259421	patient_05_SERUM_rep2	
PRJNA507500	SAMN10496880	SRX5076696	SRR8259564	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/004/SRR8259564/SRR8259564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/004/SRR8259564/SRR8259564_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/004/SRR8259564	patient_58_SERUM_rep2	
PRJNA507500	SAMN10496873	SRX5076838	SRR8259422	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259422/SRR8259422.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/002/SRR8259422	patient_55_SERUM_rep2	
PRJNA507500	SAMN10496884	SRX5076692	SRR8259568	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259568/SRR8259568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259568/SRR8259568_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/008/SRR8259568	patient_60_SERUM_rep2	
PRJNA507500	SAMN10496745	SRX5076837	SRR8259423	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259423/SRR8259423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259423/SRR8259423_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/003/SRR8259423	patient_24_CSF_rep1	
PRJNA507500	SAMN10496888	SRX5076688	SRR8259572	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259572/SRR8259572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259572/SRR8259572_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/002/SRR8259572	patient_62_SERUM_rep2	
PRJNA507500	SAMN10496677	SRX5076836	SRR8259424	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/004/SRR8259424/SRR8259424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/004/SRR8259424/SRR8259424_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/004/SRR8259424	patient_06_SERUM_rep1	
PRJNA507500	SAMN10496668	SRX5076686	SRR8259574	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/004/SRR8259574/SRR8259574.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/004/SRR8259574	patient_03_CSF_rep2	
PRJNA507500	SAMN10496781	SRX5076829	SRR8259431	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/001/SRR8259431/SRR8259431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/001/SRR8259431/SRR8259431_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/001/SRR8259431	patient_33_SERUM_rep1	
PRJNA507500	SAMN10496687	SRX5076682	SRR8259578	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259578/SRR8259578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259578/SRR8259578_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/008/SRR8259578	patient_09_CSF_rep1	
PRJNA507500	SAMN10496752	SRX5076825	SRR8259435	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259435/SRR8259435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259435/SRR8259435_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/005/SRR8259435	patient_25_SERUM_rep2	
PRJNA507500	SAMN10496682	SRX5076681	SRR8259579	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259579/SRR8259579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/009/SRR8259579/SRR8259579_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/009/SRR8259579	patient_07_SERUM_rep2	
PRJNA507500	SAMN10496872	SRX5076824	SRR8259436	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259436/SRR8259436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259436/SRR8259436_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/006/SRR8259436	patient_55_SERUM_rep1	
PRJNA507500	SAMN10496680	SRX5076679	SRR8259581	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/001/SRR8259581/SRR8259581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/001/SRR8259581/SRR8259581_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/001/SRR8259581	patient_07_CSF_rep2	
PRJNA507500	SAMN10496750	SRX5076823	SRR8259437	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/007/SRR8259437/SRR8259437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/007/SRR8259437/SRR8259437_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/007/SRR8259437	patient_25_CSF_rep2	
PRJNA507500	SAMN10496679	SRX5076678	SRR8259582	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259582/SRR8259582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/002/SRR8259582/SRR8259582_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/002/SRR8259582	patient_07_CSF_rep1	
PRJNA507500	SAMN10496847	SRX5076817	SRR8259443	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259443/SRR8259443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/003/SRR8259443/SRR8259443_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/003/SRR8259443	patient_50_SERUM_rep1	
PRJNA507500	SAMN10496685	SRX5076676	SRR8259584	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/004/SRR8259584/SRR8259584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/004/SRR8259584/SRR8259584_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/004/SRR8259584	patient_08_SERUM_rep1	
PRJNA507500	SAMN10496842	SRX5076812	SRR8259448	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259448/SRR8259448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259448/SRR8259448_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/008/SRR8259448	patient_49_CSF_rep2	
PRJNA507500	SAMN10496683	SRX5076674	SRR8259586	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259586/SRR8259586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259586/SRR8259586_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/006/SRR8259586	patient_08_CSF_rep1	
PRJNA507500	SAMN10496844	SRX5076810	SRR8259450	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259450/SRR8259450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/000/SRR8259450/SRR8259450_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/000/SRR8259450	patient_49_SERUM_rep2	
PRJNA507500	SAMN10496809	SRX5076665	SRR8259595	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259595/SRR8259595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259595/SRR8259595_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/005/SRR8259595	patient_41_CSF_rep1	
PRJNA507500	SAMN10496843	SRX5076809	SRR8259451	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/001/SRR8259451/SRR8259451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/001/SRR8259451/SRR8259451_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/001/SRR8259451	patient_49_SERUM_rep1	
PRJNA507500	SAMN10496898	SRX5076662	SRR8259598	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259598/SRR8259598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/008/SRR8259598/SRR8259598_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/008/SRR8259598	patient_67_SERUM_rep2	
PRJNA507500	SAMN10496924	SRX5076803	SRR8259457	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/007/SRR8259457/SRR8259457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/007/SRR8259457/SRR8259457_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/007/SRR8259457	patient_80_SERUM_rep2	
PRJNA507500	SAMN10496891	SRX5076655	SRR8259605	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259605/SRR8259605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/005/SRR8259605/SRR8259605_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR825/005/SRR8259605	patient_64_SERUM_rep1	
